,sample,longitude,latitude,lithology,unit,authors,sio2,al2o3,fe2o3,mgo,cao,na2o,k2o,tio2,p2o5,mno,cr2o3,ni_ppm,loi,sum,ba_ppm,be_ppm,co_ppm,cs_ppm,ga_ppm,hf_ppm,nb_ppm,rb_ppm,sn_ppm,sr_ppm,ta_ppm,th_ppm,u_ppm,v_ppm,w_ppm,zr_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,mo_ppm,cu_ppm,pb_ppm,zn_ppm,cr_ppm,nio,as_ppm,cd_ppm,sb_ppm,bi_ppm,ag_ppm,au_ppm,hg_ppm,tl_ppm,se_ppm,sc_ppm,eu/eu*,lan/ybn,lan/smn,rb/sr,sr/y,age_ma,feot,total,ti_ppm
276,LF-1415,-76.3938780465,5.80331636775,Pyroclastite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",58.69,16.2,7.71,3.02,6.99,2.03,0.52,0.815,0.24,0.118,,10,3.64,99.98,183.0,1,12.0,0.2,17.0,4.2,1.8,10,1,470.0,0.11,4.03,1.03,185.0,0.3,142.0,27.0,15.6,30.6,4.67,21.5,4.83,0.984,4.06,0.71,4.6,0.99,2.99,0.477,2.95,0.417,1,53,8,79,10,,2.5,,0.5,0.1,0.3,-,,0.05,,24.0,0.68,3.53,1.99,0.02127659574468085,17.40740740740741,47.5,,,
277,LF-1427,-76.3900377904,5.80588868619,Basalt-Andesite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",52.33,17.89,9.23,4.99,9.44,2.79,0.19,0.709,0.16,0.107,,20,2.11,99.95,123.0,1,19.0,0.2,16.0,2.2,1,4,1,466.0,0.04,1.1,0.7,264.0,0.3,83.0,26.0,3.54,7.94,1.51,9.2,3.36,1.09,4.37,0.77,5.01,1.01,2.85,0.417,2.48,0.339,1,57,5,78,10,,2.5,,0.3,0.1,0.3,-,,0.03,,34.0,0.87,0.95,0.65,0.008583690987124463,17.923076923076923,47.5,,,
278,LF-1941,-76.3899652755,5.79133074553,Basalt-Andesite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",56.26,16.81,7.68,4.26,8.4,3.31,1.03,0.739,0.19,0.111,,34,1.32,100.12,390.0,1,15.0,0.3,17.0,3.7,2,15,0.5,317.0,0.1,3.4,1,239.0,0.5,123.0,24.0,15.3,29.6,4.62,20.4,4.9,1.28,4.0,0.7,4.4,0.9,2.7,0.37,2.4,0.37,1,205,6,87,34,,2.5,,0.3,0.2,0.3,-,,0.1,,30.0,0.89,4.25,1.92,0.0473186119873817,13.208333333333334,47.5,,,
279,MC-0474,-76.1796003765,5.85432625426,Basalt,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",47.46,11.09,13.21,9.13,13.04,1.28,0.32,0.92,0.18,0.233,,69,2.9,99.76,119.0,0.5,47.0,0.3,14.0,1.3,1,5,0.5,316.0,0.1,0.4,0.2,323.0,0.5,42.0,19.0,4.1,9.3,1.57,8.0,2.6,0.93,2.7,0.5,3.2,0.7,1.9,0.24,1.5,0.24,1,118,7,123,205,,2.5,,0.3,0.2,0.3,-,,0.1,,58.0,1.08,1.82,0.97,0.015822784810126583,16.63157894736842,47.5,,,
280,MC-0477,-76.1881749051,5.85614834097,Basalt,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",48.71,12.98,12.75,7.68,10.99,2.08,1.47,0.809,0.4,0.261,,-,1.88,100.01,374.0,1,45.0,0.1,15.0,1.4,1.7,13,0.5,747.0,0.12,0.78,0.42,294.0,0.3,43.0,14.0,7.79,16.0,2.47,12.4,3.31,1.1,3.12,0.51,3.05,0.57,1.54,0.224,1.47,0.223,1,-,-,-,210,,3.4,,<0.1,0.1,-,11,,0.03,,39.4,1.05,3.53,1.45,0.01740294511378849,53.357142857142854,47.5,,,
281,MM-0011,-76.2352095619,5.80016220163,Andesite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",50.08,14.23,10.26,9.17,9.29,3.17,0.12,0.886,0.08,0.157,,125,1.88,99.32,39.0,0.5,40.0,0.1,13.0,1.3,2.7,2,0.5,106.0,0.19,0.21,0.06,269.0,0.3,40.0,15.0,2.64,6.47,1.03,5.54,1.86,0.732,2.28,0.45,3.08,0.64,1.8,0.286,1.87,0.267,1,164,7,102,339,,2.5,,0.4,0.1,0.3,-,,0.03,,44.0,1.09,0.94,0.87,0.018867924528301886,7.066666666666666,47.5,,,
282,RM-3839,-79.25420277777778,9.230611111111111,Basalt-Andesite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",59.78,16.6,7.06,2.65,5.09,3.14,1.36,0.448,0.16,0.317,,10,3.44,100.04,666.0,1,14.0,0.3,16.0,2.2,1.2,20,0.5,619.0,0.1,2.23,0.74,170.0,0.7,81.0,13.0,14.3,26.4,3.61,15.5,3.22,0.986,2.46,0.39,2.41,0.49,1.42,0.227,1.56,0.239,1,349,8,178,10,,2.5,,0.4,0.1,0.3,-,,0.15,,17.0,1.08,6.11,2.73,0.03231017770597738,47.61538461538461,47.5,,,
283,RM-3903,-79.25235,9.177024999999999,Basalt-Andesite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",60.42,14.65,10.59,2.61,6.0,3.92,0.14,0.855,0.24,0.088,,10,0.63,100.15,72.0,1,3.0,0.3,15.0,2.5,1,1,0.5,287.0,0.1,1.4,0.5,204.0,0.5,82.0,19.0,6,12.4,2.07,9.7,2.7,0.93,2.6,0.5,3.3,0.7,2.1,0.3,2.0,0.33,1,54,6,77,10,,5.7,,0.3,0.2,0.3,-,,0.1,,30.0,1.08,2.0,1.37,0.003484320557491289,15.105263157894736,47.5,,,
284,RM-5217,-79.25475555555556,9.167858333333333,Andesite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",57.27,17.04,7.85,3.74,3.31,2.86,2.99,0.777,0.28,0.178,,10,3.76,100.06,1642.0,1,13.0,0.6,19.0,4.4,2.1,52,1,253.0,0.12,4.32,1.26,216.0,0.3,146.0,28.0,26,48.7,7.37,32.5,7.13,1.99,5.75,0.87,5.18,1.03,2.88,0.438,2.9,0.431,2,184,9,121,10,,2.5,,0.3,0.1,0.3,-,,0.27,,22.0,0.96,5.98,2.24,0.20553359683794467,9.035714285714286,47.5,,,
285,RM-5349,-79.10544444444444,9.2411,Basalt-Andesite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",54.75,16.62,8.17,5.15,8.42,2.79,0.98,0.674,0.28,0.148,,-,2.42,100.41,533.0,1,27.0,0.4,17.0,2.8,1.2,13,0.5,413.0,0.08,2.73,0.82,249.0,0.3,100.0,19.0,15.4,29.8,4.52,20.6,4.52,1.31,3.65,0.58,3.53,0.71,2.03,0.317,2.03,0.308,1,-,-,-,102,,6.1,,0.2,0.1,-,4,,0.03,,31.4,0.99,5.06,2.1,0.031476997578692496,21.736842105263158,47.5,,,
