,age group,sample,lithology,sio2,tio2,al2o3,fe2o3*,fe2o3,feo,mno,mgo,cao,na2o,k2o,p2o5,h2o+,total,[mg #],fe #,nb_ppm,ta_ppm,zr_ppm,y_ppm,hf_ppm,sr_ppm,rb_ppm,ba_ppm,u_ppm,th_ppm,pb_ppm,ga_ppm,ni_ppm,cr_ppm,v_ppm,co_ppm,sc_ppm,cs_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,longitude,latitude,age
41,Permian-Triassic,C-AM-05-07,alkali feldspar granite,75.11,0.17,13.09,1.63,1.20,0.38,0.02,0.13,0.46,3.81,4.97,0.02,0.40,99.76,0.38,0.75,48.6,5.3,185,37.2,6.5,58,340.9,211.0,8.5,38.4,13.8,22,5,3,4,2,2,5.2,20.0,70.2,4.7,16.8,3.2,0.4,3.4,0.7,5.1,1.1,3.4,0.6,4.1,0.7,-75.3,-11.0,254.0
42,Permian-Triassic,C-AM-05-08,alkali feldspar granite,74.40,0.16,13.23,1.95,1.73,0.19,0.02,0.08,0.56,3.80,5.30,0.04,0.53,100.04,0.43,0.70,48.3,4.5,261,31.1,7.3,51,379.8,181.5,4.4,36.5,9.9,23,5,2,3,2,2,12.3,24.9,49.2,5.6,20.8,4.3,0.3,3.8,0.8,4.5,1.1,3.2,0.5,2.7,0.6,-75.3,-11.0,254.0
43,Permian-Triassic,C-AM-05-09,alkali feldspar granite,75.98,0.17,12.73,1.86,1.84,0.01,0.00,0.05,0.24,3.84,4.89,0.03,0.32,100.10,0.89,0.18,49.4,5.2,279,41.1,10.7,38,286.7,124.1,5.5,49.1,9.7,22,4,5,4,3,2,5.1,59.5,98.1,11.3,44.2,8.1,0.2,8.0,1.3,7.9,1.7,4.9,0.7,4.5,0.8,-75.3,-10.9,254.0
44,Permian-Triassic,C-AM-05-10,alkali feldspar granite,77.06,0.06,12.17,1.51,0.82,0.61,0.05,0.05,0.16,3.38,4.89,0.01,0.35,99.61,0.13,0.92,54.3,6.8,42,90.5,3.1,10,780.6,23.1,4.5,37.4,20.0,24,11,2,2,2,3,20.2,19.2,41.5,6.7,31.8,9.6,0.3,12.8,2.1,13.9,2.8,7.2,1.3,7.8,0.8,-75.3,-11.3,254.0
45,Permian-Triassic,C-AM-05-11a, granite,71.45,0.31,14.49,2.56,0.96,1.44,0.05,0.40,1.42,4.15,4.81,0.10,0.51,100.07,0.33,0.78,29.2,2.9,224,61.9,7.5,114,278.3,569.6,8.6,32.1,24.4,23,5,11,15,4,3,8.5,61.2,113.3,13.5,51.7,11.6,0.8,10.9,1.8,11.6,2.5,7.5,1.2,6.0,1.1,-75.3,-11.3,254.0
46,Permian-Triassic,C-AM-05-11b, micro-granodiorite,64.93,0.79,15.34,6.18,1.77,3.94,0.11,1.13,2.35,4.54,3.51,0.27,1.00,99.68,0.34,0.78,55.7,3.5,383,60.9,9.5,146,352.5,438.4,6.4,8.1,16.0,27,7,6,43,8,10,14.5,15.6,34.4,5.4,26.6,9.7,0.9,9.4,1.7,11.1,2.3,6.8,1.0,6.6,0.9,-75.3,-11.3,254.0
47,Permian-Triassic,C-AM-05-12, granite,69.76,0.39,13.85,2.95,1.07,1.62,0.05,0.53,1.42,3.77,4.70,0.12,2.94,100.21,0.37,0.76,25.6,2.6,238,48.2,7.4,120,275.0,495.4,6.2,31.0,25.3,21,5,11,20,5,4,6.8,50.9,94.6,10.4,41.9,7.9,1.0,8.2,1.3,8.2,1.7,4.9,0.8,5.2,0.8,-75.3,-11.3,254.0
48,Permian-Triassic,C-AM-05-15,alkali feldspar granite,76.06,0.12,12.26,1.09,0.73,0.32,0.02,0.10,0.23,3.58,5.11,0.03,0.48,99.04,0.36,0.76,20.4,3.3,120,53.3,4.1,25,414.9,95.3,8.8,52.2,8.7,19,6,3,3,2,2,6.2,39.0,73.2,7.9,24.5,5.2,0.3,5.5,1.0,6.9,1.6,4.9,0.8,5.9,0.9,-75.3,-11.2,254.0
49,Permian-Triassic,C-AM-05-16, granite,74.85,0.13,13.28,1.58,0.64,0.84,0.03,0.11,0.76,3.70,5.10,0.03,0.46,99.92,0.19,0.88,40.5,4.9,143,69.4,6.6,38,313.0,140.1,6.9,32.9,24.6,24,6,6,3,2,2,4.6,39.7,83.7,10.3,40.7,9.1,0.6,11.0,1.7,11.8,2.5,7.0,1.1,7.9,1.1,-74.7,-11.0,254.0
50,Permian-Triassic,C-AM-05-33, granite,71.30,0.41,14.68,2.16,1.20,0.84,0.05,1.21,1.13,4.54,3.44,0.13,1.23,100.14,0.72,0.41,9.6,1.0,146,22.0,4.7,124,122.4,830.4,3.8,18.2,9.7,18,3,6,29,2,5,1.8,51.3,105.0,11.1,41.0,6.0,1.3,5.7,0.6,3.9,0.8,2.6,0.4,3.4,0.4,-75.4,-10.7,254.0
