,sample,reference,region,age,error,method,a/cnk,a/nk,sr/y,y_ppm,rb/y,sio2,tio2,al2o3,fe2o3,mno,mgo,cao,na2o,k2o,p2o5,total,loi,cr_ppm,be_ppm,sc_ppm,ni_ppm,cu_ppm,zn_ppm,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,mo_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,hf_ppm,ta_ppm,w_ppm,pb_ppm,th_ppm,u_ppm,co_ppm,longitude,latitude
26,M820,5,P,167.0,,Field rel.,1.03,1.16,2.10,42.70,8.18,76.50,0.25,13.20,1.31,0.07,0.16,0.78,5.21,2.57,0.01,99.80,6.40,,6.00,6.00,< 20,,,349.40,89.50,42.70,298.00,19.50,,85.40,669.00,58.70,122.70,14.20,55.10,10.78,1.65,9.32,1.43,8.40,1.62,5.09,0.72,4.71,0.72,9.10,1.00,0.70,,14.30,3.20,< 0.2,-66.55,-47.86666666666667
27,M55,5,P,167.0,,Field rel.,1.13,1.21,1.40,55.90,2.87,78.90,0.23,11.10,1.92,0.04,0.20,0.35,2.52,4.65,0.02,99.90,1.00,,3.00,4.00,< 20,,,160.50,78.20,55.90,211.30,12.90,,5.40,1063.00,48.90,102.80,12.34,49.40,9.37,1.90,8.77,1.36,8.51,1.80,5.41,0.81,5.35,0.79,6.00,0.60,1.00,,11.70,2.00,1.10,-66.41833333333334,-47.705
28,M077-b,5,P,167.0,,Field rel.,1.14,1.16,5.26,15.60,17.30,78.30,0.12,12.00,1.08,< 0.01,0.03,0.09,2.21,6.22,0.01,99.90,0.80,,2.00,3.00,< 20,,,269.90,82.10,15.60,83.50,12.90,,2.60,393.00,25.20,48.50,4.88,16.90,2.74,0.33,2.23,0.34,2.11,0.48,1.69,0.30,2.20,0.36,3.40,1.00,1.20,,19.50,1.40,0.60,-66.60833333333333,-47.776666666666664
29,M739,5,P,167.0,,Field rel.,1.11,1.25,6.98,19.00,9.32,77.80,0.12,11.80,1.71,0.03,0.23,0.67,2.26,5.30,0.03,99.90,1.20,,< 1,2.00,< 20,,,177.00,132.60,19.00,111.30,7.60,,2.30,905.00,43.20,68.60,8.97,34.10,6.45,1.22,5.52,0.76,3.79,0.77,2.18,0.32,2.33,0.35,3.30,0.70,1.00,,11.50,1.60,1.70,-67.17333333333333,-47.3
30,M703-a,5,P,167.0,,Field rel.,1.18,1.37,4.53,28.70,4.75,75.80,0.10,13.50,1.51,0.03,0.20,0.89,2.06,5.95,0.02,99.90,8.00,,4.00,3.00,< 20,,,136.30,130.10,28.70,117.30,11.00,,187.60,1041.00,39.10,73.00,8.32,30.70,5.92,0.80,5.29,0.82,4.80,1.04,3.22,0.47,3.32,0.49,4.00,0.70,0.90,,11.80,3.30,1.70,-67.18833333333333,-47.305
31,M748-a,5,P,167.0,,Field rel.,1.05,1.22,6.65,18.60,6.43,83.00,0.09,8.95,1.54,0.03,0.08,0.66,2.20,3.42,0.02,99.90,0.80,,< 1,1.00,< 20,,,119.60,123.60,18.60,81.10,5.60,,2.70,755.00,26.60,46.70,5.33,19.30,3.43,0.57,3.15,0.48,2.75,0.57,1.82,0.24,1.69,0.25,2.70,0.50,0.80,,8.90,2.30,0.80,-67.17833333333333,-47.276666666666664
32,M182,5,P,167.0,,Field rel.,1.14,1.17,1.88,22.10,9.31,82.10,0.13,9.14,1.30,0.01,0.15,0.10,0.46,6.54,0.02,99.90,1.00,,3.00,2.00,< 20,,,205.70,41.60,22.10,88.00,5.00,,5.00,490.00,24.20,49.20,4.70,15.80,2.78,0.57,2.84,0.50,3.25,0.74,2.33,0.36,2.32,0.36,2.30,0.50,1.60,,15.60,2.10,1.50,-68.635,-47.485
33,M176,5,P,167.0,,Field rel.,1.04,1.38,4.74,25.90,9.97,74.50,0.16,14.10,1.96,0.03,0.25,1.80,4.29,2.93,0.03,99.90,4.90,,3.00,8.00,26.00,,,258.10,122.80,25.90,171.40,8.80,,19.70,741.00,32.90,65.10,7.44,26.60,5.08,0.75,4.84,0.80,4.43,0.98,2.91,0.44,2.96,0.46,5.00,0.70,3.10,,16.70,4.40,1.00,-68.67333333333333,-47.538333333333334
34,M779,5,P,167.0,,Field rel.,0.70,2.31,43.22,20.20,1.32,54.80,1.11,16.40,9.73,0.19,2.79,9.04,3.26,1.59,1.09,99.70,4.60,,< 1,20.00,< 20,,,26.60,873.00,20.20,162.40,6.10,,3.70,851.00,34.10,70.70,8.58,36.00,6.95,1.71,5.69,0.77,4.02,0.78,2.20,0.31,2.00,0.29,4.00,0.20,< 0.5,,4.70,0.80,17.20,-66.58166666666666,-47.82
35,M332-b,5,P,167.0,,Field rel.,0.92,1.75,15.66,39.30,3.85,63.67,0.83,16.88,5.18,0.11,1.76,4.80,4.47,2.10,0.36,99.70,2.30,,4.00,14.00,< 20,,,151.50,615.30,39.30,351.10,10.20,,40.20,1193.00,46.50,93.90,11.19,46.10,8.62,2.22,8.17,1.17,6.83,1.36,4.13,0.55,3.57,0.60,8.30,0.60,< 0.5,,9.10,1.90,25.60,-66.53666666666666,-47.818333333333335
36,M330-b,5,P,167.0,,Field rel.,0.93,1.65,19.92,29.80,2.98,63.20,0.95,17.37,5.51,0.08,0.59,4.53,4.45,2.95,0.38,99.80,2.60,,2.00,14.00,< 20,,,88.90,593.50,29.80,314.70,10.80,,12.30,1168.00,44.90,90.60,10.98,44.40,8.48,2.09,7.34,1.02,5.50,1.07,3.09,0.42,2.69,0.40,7.40,0.60,0.60,,9.10,1.80,7.90,-66.58666666666667,-47.79833333333333
37,M325-b,5,P,167.0,,Field rel.,0.87,1.89,27.70,25.10,2.57,61.12,0.94,17.10,6.10,0.13,2.03,5.79,3.78,2.63,0.38,99.80,4.30,,< 1,15.00,< 20,,,64.50,695.20,25.10,263.80,9.30,,5.00,1177.00,43.10,87.00,10.23,41.60,7.68,1.92,6.47,0.89,5.09,0.95,2.77,0.38,2.29,0.38,6.50,0.60,< 0.5,,9.00,1.60,11.00,-66.58,-47.80833333333333
38,M845,5,P,167.0,,Field rel.,0.83,1.41,28.54,19.30,9.15,56.72,0.92,17.03,9.27,0.14,1.63,4.64,4.02,5.05,0.59,99.80,4.80,,4.00,20.00,< 20,,,176.60,550.80,19.30,167.40,6.80,,2.90,1113.00,30.20,63.60,7.80,31.40,6.13,1.48,5.15,0.70,3.91,0.71,2.03,0.28,1.93,0.28,4.40,0.40,1.20,,5.90,1.00,18.20,-66.57833333333333,-47.843333333333334
39,M738,5,P,167.0,,Field rel.,0.86,2.44,45.98,18.20,2.82,57.78,0.97,16.88,8.70,0.16,3.35,6.96,2.96,1.88,0.43,99.80,1.90,,1.00,18.00,< 20,,,51.30,836.90,18.20,154.60,6.00,,21.90,844.00,43.90,82.40,9.86,38.90,6.86,1.73,5.32,0.68,3.48,0.64,1.83,0.26,1.64,0.25,4.00,0.30,< 0.5,,9.90,1.90,19.30,-67.17166666666667,-47.295
40,M149,5,P,167.0,,Field rel.,0.81,2.51,33.75,19.90,3.38,56.32,0.99,17.71,7.36,0.15,3.91,8.21,3.13,1.75,0.47,99.80,2.30,,2.00,22.00,50.00,,,67.30,671.60,19.90,173.00,16.80,,3.70,679.00,31.40,61.60,7.64,29.20,5.82,1.62,4.97,0.68,3.82,0.76,2.23,0.32,2.03,0.30,4.40,1.00,0.80,,5.50,1.20,25.90,-68.665,-47.54333333333334
41,M145,5,P,167.0,,Field rel.,0.79,2.51,36.40,19.20,3.35,55.39,1.00,17.82,7.67,0.15,3.99,8.57,3.13,1.80,0.48,99.80,2.40,,2.00,22.00,61.00,,,64.30,698.80,19.20,171.50,17.00,,5.60,667.00,30.90,62.90,7.53,29.90,5.74,1.61,4.90,0.70,3.74,0.72,2.14,0.30,2.01,0.31,4.00,0.80,0.80,,5.40,1.10,28.80,-68.62166666666667,-47.465
42,M312-b,5,P,167.0,,Field rel.,1.00,1.62,34.81,13.40,9.21,64.84,0.37,16.79,4.83,0.12,1.73,3.55,3.96,3.56,0.25,99.80,2.10,,2.00,6.00,< 20,,,123.40,466.50,13.40,105.10,5.30,,5.20,992.00,32.90,58.00,6.34,23.00,3.94,1.07,3.23,0.43,2.40,0.46,1.35,0.22,1.47,0.23,2.80,0.30,0.80,,10.40,2.20,7.60,-68.69833333333334,-47.288333333333334
43,M202,5,P,167.0,,Field rel.,0.76,2.27,38.30,16.90,6.34,55.90,0.85,17.40,8.01,0.10,3.39,8.42,2.96,2.58,0.38,99.80,3.20,,< 1,20.00,52.00,,,107.20,647.20,16.90,154.50,9.40,,6.00,596.00,26.00,52.00,6.23,25.20,4.89,1.43,4.49,0.60,3.26,0.60,1.89,0.28,1.76,0.31,3.60,0.50,0.70,,4.60,1.20,20.90,-68.65833333333333,-47.50833333333333
