,sample,reference,domain,lithology,age ±2σ,method,latitude,longitude,sio2,tio2,al2o3,feo,mno,mgo,cao,na2o,k2o,p2o5,cr2o3,total,loi,nio,be_ppm,sc_ppm,ni_ppm,cu_ppm,zn_ppm,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,mo_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,er_ppm,tm_ppm,yb_ppm,ybn,lu_ppm,hf_ppm,ta_ppm,w_ppm,pb_ppm,th_ppm,u_ppm,co_ppm,ag_ppm,sn_ppm,sb_ppm,bi_ppm,as_ppm,age,age_error,code,internal code,error,fe#,a/cnk,a/nk,y+nb,sr/y,rb/y,fe2o3,ho_ppm,εndi,type,source,si_ppm,fe_ppm,mg_ppm,asi
22,PRR-5994,,,,,U-Pb Zr,-68.13,-67.12,63.30,0.81,16.99,,0.14,1.81,4.48,4.69,2.58,0.26,0.00,0.26,0.15,0.00,2.65,21.97,14.60,110.58,61.12,62.11,328.55,23.27,95.44,6.98,0.88,2.26,243.85,18.17,39.47,4.85,20.36,4.53,0.85,4.25,0.64,4.23,2.49,0.37,2.65,,0.39,3.23,0.53,1.22,11.96,7.79,1.66,0.00,0.00,0.00,0.00,0.00,0.00,111.63,,,,0.39,,,,,,,5.00,0.86,,Plutonic,Plutonic,29.59,3.50,1.09,1.60
23,15JB65,,,,,U-Pb Zr,-67.82,-67.18,76.49,0.09,12.61,,0.06,0.09,0.38,4.19,4.52,0.02,0.00,0.02,0.33,0.00,4.26,5.23,1.05,2.27,29.33,168.52,36.37,29.75,120.72,11.73,0.95,2.38,426.07,34.61,74.68,8.40,32.02,6.27,0.36,5.29,0.80,5.35,3.15,0.47,3.42,,0.51,4.86,0.95,6.60,20.29,16.72,2.84,0.00,0.00,0.00,0.00,0.00,0.00,106.41,,,,0.28,,,,,,,1.18,1.06,,Plutonic,Plutonic,35.75,0.82,0.05,0.97
24,J6.297.1,,,,,U-Pb Zr,-67.63,-68.75,64.22,0.97,16.70,,0.12,1.60,7.42,3.07,0.26,0.17,0.00,101.35,1.82,0.00,2.58,14.87,3.98,7.40,51.58,9.66,819.31,19.46,416.41,8.14,0.68,1.67,71.88,24.79,47.86,5.49,22.13,4.21,1.39,3.82,0.52,3.47,2.06,0.32,2.22,,0.35,9.10,0.54,0.48,16.23,6.71,1.64,4.23,0.00,1.32,0.92,0.07,4.49,105.59,,,,0.62,,,,,,,5.58,0.69,,Plutonic,Volcanic,30.02,4.82,0.97,3.55
25,PRR-6023,,,,,U-Pb Zr,-65.2,-64.1,55.27,1.32,17.50,,0.14,3.83,7.46,3.92,1.27,0.29,0.01,99.98,1.17,0.00,1.54,24.46,23.25,33.98,75.84,35.44,555.04,15.65,67.91,3.55,0.56,1.49,322.95,12.82,28.01,3.58,16.32,3.69,1.25,3.40,0.48,3.02,1.64,0.23,1.55,,0.22,2.10,0.25,0.44,5.75,3.70,0.76,22.20,0.00,0.00,0.00,0.00,0.00,105.3,,,,0.12,,,,,,,8.05,0.58,,Plutonic,Plutonic,25.83,5.63,2.31,2.34
26,PRR-5999,,,,,U-Pb Zr,-67.82,-67.18,76.12,0.09,12.83,,0.07,0.09,0.45,4.25,4.60,0.02,0.00,0.02,0.29,0.00,4.61,5.63,1.49,3.41,40.68,175.74,35.31,35.71,115.91,14.40,1.40,2.39,443.69,32.77,70.04,7.99,30.88,6.31,0.38,5.79,0.92,6.32,3.81,0.59,4.24,,0.62,4.89,1.20,3.15,23.28,19.52,3.77,0.00,0.00,0.00,0.00,0.00,0.00,105.16,,,,0.27,,,,,,,1.17,1.29,,Plutonic,Plutonic,35.58,0.82,0.05,0.97
27,PRR-5998,,,,,U-Pb Zr,-67.82,-67.18,76.29,0.00,12.76,,0.00,0.08,0.41,4.23,4.57,0.03,0.00,99.91,0.26,0.00,0.37,0.26,0.79,0.33,0.06,0.01,0.25,0.08,0.02,0.16,1.34,0.75,0.01,0.06,0.03,0.23,0.06,0.32,2.87,0.40,1.85,0.37,0.66,2.92,0.68,,2.75,0.44,1.62,1.82,0.10,0.14,0.49,2.41,0.00,0.00,0.00,0.00,0.00,104.58,,,,0.21,,,,,,,1.14,1.69,,Volcanic,Plutonic,35.66,0.80,0.05,0.97
28,15JB53,,,,,U-Pb Zr,-64.83,-62.86,70.33,0.42,14.91,,0.16,0.90,3.13,4.01,0.98,0.07,0.00,0.07,1.36,0.00,2.25,8.84,5.25,4.43,79.17,41.00,369.72,12.91,172.90,5.01,0.49,2.41,338.01,18.00,35.20,3.60,13.25,2.49,0.92,2.20,0.32,2.31,1.43,0.22,1.63,,0.25,4.39,0.44,0.54,49.82,9.72,2.14,0.00,0.00,0.00,0.00,0.00,0.00,103.57,,,,0.2,,,,,,,3.58,0.46,,Plutonic,Plutonic,32.87,2.50,0.54,2.08
29,PRR-6025,,,,,U-Pb Zr,-65.2,-64.1,54.94,1.45,16.40,,0.17,3.79,7.40,3.91,1.30,0.33,0.01,99.81,0.96,0.00,1.52,29.67,11.65,40.31,87.69,31.65,478.42,27.80,93.58,3.38,0.70,0.88,296.42,12.11,27.99,3.80,18.45,4.57,1.33,4.57,0.67,4.50,2.53,0.34,2.42,,0.36,2.80,0.21,0.39,6.21,2.91,0.69,22.75,0.00,0.00,0.00,0.00,0.00,101.25,,,,0.17,,,,,,,9.42,0.89,,Plutonic,Plutonic,25.68,6.59,2.29,2.18
30,J6.307.1,,,,,U-Pb Zr,-67.47,-68.53,67.83,0.59,17.59,,0.05,1.42,7.24,3.40,0.26,0.10,0.01,100.26,0.69,0.00,3.25,13.48,10.04,40.32,78.21,4.88,360.62,15.23,186.46,7.91,0.78,0.45,91.47,36.50,63.97,6.34,22.81,3.57,0.87,2.84,0.39,2.53,1.59,0.25,1.92,,0.29,5.05,0.65,2.26,14.04,12.97,2.51,5.80,0.03,1.95,12.94,0.10,0.00,100.71,,,,0.23,,,,,,,2.19,0.52,,Plutonic,Volcanic,31.71,1.54,0.86,3.40
31,R5905.4,,,,,U-Pb Zr,-71.28,-66.13,71.40,0.35,16.31,,0.08,0.67,2.57,3.19,2.89,0.09,0.00,99.94,0.88,0.00,3.65,9.49,5.69,2.88,105.42,109.25,383.57,10.44,130.57,11.88,0.80,3.61,1060.05,32.31,57.69,5.54,18.58,2.90,0.76,2.12,0.30,1.86,1.10,0.17,1.25,,0.20,3.66,0.87,1.32,22.83,12.84,1.95,4.88,0.03,1.53,9.91,0.03,0.00,91.53,,,,0.11,,,,,,,2.34,0.36,,Plutonic,Plutonic,33.37,1.64,0.41,1.81
32,PRR-6034,,,,,U-Pb Zr,-65.28,-64.1,51.39,0.01,17.83,,0.00,4.62,10.27,3.00,0.50,0.12,0.01,99.84,0.61,0.00,0.57,10.76,11.98,51.44,7.58,0.13,94.70,1.68,1.78,0.66,0.48,0.25,1.63,0.64,0.65,0.69,0.98,1.05,1.38,1.36,0.48,1.25,1.00,0.29,0.97,,0.28,0.77,0.18,0.18,0.51,0.18,0.12,43.31,0.00,0.00,0.00,0.00,0.00,81.4,,,,0.16,,,,,,,10.16,0.58,,Volcanic,Plutonic,24.02,7.11,2.79,3.58
33,R5793.2,,,,,U-Pb Zr,-70.94,-66.8,64.79,0.51,17.29,,0.07,1.59,3.24,4.22,2.82,0.16,0.00,100.19,3.26,0.00,3.81,11.81,5.11,3.29,75.64,121.08,422.09,14.68,177.83,8.41,0.51,4.06,854.05,27.33,53.34,5.75,21.29,3.81,0.90,3.16,0.40,2.71,1.53,0.22,1.64,,0.26,4.79,0.64,1.38,20.88,11.24,2.95,8.30,0.03,1.92,6.45,0.06,0.00,79.12,,,,0.09,,,,,,,3.74,0.50,,Volcanic,Plutonic,30.29,2.62,0.96,1.67
