,Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl,Longitude,Latitude
18,PC 1302,Marschik et al 2003,Monzodiorite,P,Monzodiorita San Gregorio,Batolito Copiapó,372400.0,6958900.0,111.0,61.07,0.88,16.78,,,6.27,,6.27,0.13,1.86,3.82,4.22,4.61,0.38,0.58,100.6,100.02,360.0,146,828.0,10,4,,13.0,568.0,12.0,29.0,,,,,,,,,,,,,,,8,54.0,65.0,5,15.0,138.0,,,105,8,,,,,,,,16.0,,,,13,,,-70.29164733771606,-27.487534797073117
19,PC 1306*,Marschik et al 2003,Monzodiorite,P,Monzodiorita San Gregorio,Batolito Copiapó,371380.0,6958260.0,111.0,60.7,0.83,16.0,,,7.0,,7.0,0.13,2.44,4.86,3.6,3.21,0.37,1.16,100.3,99.14,312.0,138,443.0,18,8,,15.0,437.0,8.0,51.0,26.0,79.8,9.8,43.1,11.1,1.44,8.2,,8.3,1.64,4.5,0.64,4.0,0.55,14,39.0,97.0,6,12.0,168.0,,,40,10,,,,,,,,17.0,,,,68,,,-70.30203821894786,-27.493215005369567
20,PC 97002*,Marschik et al 2003,Monzodiorite,P,Monzodiorita San Gregorio,Batolito Copiapó,370375.0,6960850.0,111.0,61.0,0.78,16.04,,,6.33,,6.33,0.11,2.1,4.58,3.68,3.64,0.27,0.43,98.97,98.54,376.0,144,647.0,8,8,,9.0,313.0,6.0,31.0,26.4,61.2,7.2,32.6,7.1,1.33,5.4,,5.2,1.05,2.9,0.4,2.7,0.4,8,65.0,17.0,8,143.0,123.0,,,99,9,,,,,,,,21.0,,,,29,,,-70.31193278991101,-27.469743160153076
21,PC 97003*,Marschik et al 2003,Monzodiorite,P,Monzodiorita San Gregorio,Batolito Copiapó,371335.0,6958470.0,111.0,58.39,0.6,19.64,,,4.67,,4.67,0.08,1.21,5.92,4.35,3.21,0.34,0.36,98.76,98.4,546.0,120,737.0,6,5,,3.0,225.0,5.0,27.0,26.5,58.7,6.5,31.1,6.8,2.03,4.7,,4.7,0.97,2.6,0.36,2.1,0.31,8,51.0,12.0,5,125.0,80.0,,,144,3,,,,,,,,21.0,,,,21,,,-70.30247135687806,-27.4913153632001
22,PC 98011,Marschik et al 2003,Monzodiorite,P,Monzodiorita San Gregorio,Batolito Copiapó,372200.0,6962720.0,111.0,60.18,0.82,15.29,,,6.71,,6.71,0.15,2.79,4.48,3.64,3.72,0.27,1.15,99.19,98.04,322.0,129,660.0,8,4,,10.0,304.0,5.0,24.0,,,,,,,,,,,,,,,14,62.0,65.0,15,26.0,159.0,,,83,<3,,,,,,,,16.0,,,,12,,,-70.29326883898928,-27.453037902805516
27,PC 97001*,Marschik et al 2003,Pyroxene diorite,P,Plutón La Brea,Batolito Copiapó,372536.0,6960819.0,120.0,53.83,1.0,18.48,,,8.27,,8.27,0.15,2.84,7.68,3.96,2.37,0.55,0.03,99.16,99.13,689.0,68,721.0,<2,7,,2.0,99.0,1.0,29.0,24.8,59.7,7.3,34.2,7.5,1.82,5.3,,5.0,0.96,2.6,0.36,2.1,0.32,14,98.0,20.0,8,97.0,223.0,,,221,<3,,,,,,,,19.0,,,,24,,,-70.29006913416195,-27.470227285418982
28,PC 1443*,Marschik et al 2003,Pyroxene diorite,P,Plutón La Brea,Batolito Copiapó,370300.0,6958330.0,120.0,57.47,0.82,16.41,,,7.44,,7.44,0.17,3.43,6.43,3.82,3.05,0.24,0.46,99.74,99.28,487.0,134,501.0,19,4,,3.0,267.0,7.0,30.0,19.7,47.9,5.6,22.7,4.8,1.26,3.3,,3.8,0.74,1.8,0.26,1.6,0.24,14,180.0,56.0,14,46.0,200.0,,,125,<3,,,,,,,,18.0,,,,39,,,-70.31296139390919,-27.492480507232123
29,PC 1498*,Marschik et al 2003,Pyroxene diorite,P,Plutón La Brea,Batolito Copiapó,370000.0,6958250.0,120.0,57.42,0.75,17.9,,,5.86,,5.86,0.13,2.36,6.66,3.96,2.62,0.3,0.74,98.7,97.96,644.0,114,529.0,5,5,,5.0,155.0,5.0,13.0,22.7,54.2,6.9,27.7,6.3,1.45,4.2,,4.0,0.82,2.2,0.31,1.9,0.28,11,63.0,60.0,8,17.0,157.0,,,62,<3,,,,,,,,17.0,,,,13,,,-70.31600625038148,-27.493173871319975
30,PC 97010*,Marschik et al 2003,Pyroxene diorite,P,Plutón La Brea,Batolito Copiapó,367010.0,6962166.0,120.0,57.18,0.82,16.38,,,7.97,,7.97,0.13,3.13,6.21,3.45,2.77,0.28,0.61,98.93,98.32,430.0,118,443.0,14,6,,6.0,201.0,5.0,31.0,23.5,54.2,6.5,29.7,6.4,1.42,5.0,,5.0,1.03,2.9,0.4,2.6,0.38,17,72.0,23.0,8,149.0,195.0,,,104,<3,,,,,,,,19.0,,,,26,,,-70.34583810030934,-27.457540602579023
31,PC 97006*,Marschik et al 2003,Hornblende diorite,P,Plutón La Brea,Batolito Copiapó,366700.0,6953860.0,120.0,55.78,0.97,18.23,,,7.33,,7.33,0.08,2.38,6.68,4.61,2.28,0.46,0.4,99.2,98.8,570.0,52,655.0,12,<2,,6.0,107.0,5.0,35.0,29.9,67.0,7.5,36.0,8.1,1.97,6.0,,5.9,1.23,3.1,0.43,2.7,0.41,16,36.0,16.0,7,120.0,179.0,,,62,<3,,,,,,,,20.0,,,,15,,,-70.3498887809832,-27.532475585785924
