Sample,Reference,Unit,Location,Petrography,Rock type,East,North,sio2,tio2,al2o3,fe2o3,feo,Measured Fe,feo_tot,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,y_ppm,sc_ppm,hf_ppm,nb_ppm,ta_ppm,th_ppm,zn_ppm,co_ppm,ni_ppm,ba_ppm,cr_ppm,v_ppm,se_ppm,br_ppm,cu_ppm,sr_ppm,zr_ppm,rb_ppm,as_ppm,be_ppm,sb_ppm,sn_ppm,u_ppm,w_ppm,bi_ppm,cd_ppm,cs_ppm,ga_ppm,ge_ppm,In_ppm,mo_ppm,pb_ppm,ag_ppm,Tl,Analytical technique (element),Age (Ma) dating,±,Age (Ma) reference,age,±,Reference,Age max (Ma),±,Age min (Ma),±,Reference,Preferred Age max (Ma),±,Preferred Age min (Ma),±,Reference(s),Radiometric dating technique,Dated material,87Sr/86Sr,±,87Rb/86Sr,±,(87Sr/86Sr)i,147Sm/144Nd,±,143Nd/144Nd,±,eNd,(143Nd/144Nd)i,eNdi,(206Pb/204Pb)i,206Pb/204Pb,(207Pb/204Pb)i ,207Pb/204Pb,(208Pb/204Pb)i,208Pb/204Pb,208Pb/206Pb,207Pb/206Pb
GUR-55q,Murillo et al 2017,Guanta Plutonic Complex (gr),0,Granite,P,366123,6717073,76.89,0.06,12.68,0.23,0.47,0.7,0.68,0.01,0.1,0.09,3.31,5.34,0.02,0.31,100.2,30.05,70.49,8.38,36.19,7.65,1.92,6.72,1,5.84,1.17,3.1,0.44,2.87,0.42,29.1,-1,2.67,5.36,0.41,4.67,17.36,-2.5,-2.5,191.07,13.81,-5,0,0,-2.5,-2.5,92.24,265.79,0,0,0,0,0.97,0,0,0,1.93,0,0,0,0,18.9,0,0,"XRF, ICP-MS",0,0,0,0,0,0,303,9,266,7,"Nasi et al. 1990; Hervé et al. 2014; Ortiz and Merino, 2015; Murillo et al. 2017",296.2,1.4,279.7,0.3,Murillo et al. 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUR-79q,Murillo et al 2017,Guanta Plutonic Complex (gr),0,Granite,P,367110,6718085,77.16,0.06,12.71,0.23,0.46,0.68,0.66,0.01,0.11,0.22,3.97,4.64,0.04,0.26,100.55,3.53,9.05,1.35,5.34,1.65,0.19,1.55,0.29,1.94,0.42,1.2,0.19,1.36,0.23,98.65,-2.5,4.54,-2.5,5.1,10.62,23.27,-2.5,9.19,378.34,-5,-5,0,0,-2.5,13.43,79.04,252.99,0,0,0,0,2.18,0,0,0,2.5,0,0,0,0,27.69,0,0,"XRF, ICP-MS",0,0,0,0,0,0,303,9,266,7,"Nasi et al. 1990; Hervé et al. 2014; Ortiz and Merino, 2015; Murillo et al. 2017",296.2,1.4,279.7,0.3,Murillo et al. 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUR-104q,Murillo et al 2017,Guanta Plutonic Complex (gr),0,Granite,P,367224,6732320,73.63,0.2,13.7,0.37,0.73,1.1,1.06,0.01,-0.01,1.32,3.56,4.91,0.04,1.54,101.12,18.23,43.08,4.88,18.92,3.89,0.56,3.25,0.52,3.29,0.69,2.07,0.34,2.55,0.4,41.67,-2.5,4.53,-2.5,1.2,16.45,21.2,-2.5,-2.5,610.7,-5,14.65,0,0,-2.5,68.27,92.12,204.58,0,0,0,0,2.47,0,0,0,2.65,0,0,0,0,22.45,0,0,"XRF, ICP-MS",0,0,0,0,0,0,303,9,266,7,"Nasi et al. 1990; Hervé et al. 2014; Ortiz and Merino, 2015; Murillo et al. 2017",296.2,1.4,279.7,0.3,Murillo et al. 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUR-145q,Murillo et al 2017,Guanta Plutonic Complex (gr),0,Granodiorite,P,374579,6682572,72.24,0.21,13.77,0.81,1.61,2.42,2.34,0.05,0.15,1.5,4.13,3.84,0.07,0.81,101.59,37.52,78.4,8.83,35.41,6.87,1.12,6.09,1,6.67,1.44,4.14,0.63,4.23,0.62,47.79,-2.5,3.22,-2.5,1.17,4.81,48.48,-2.5,-2.5,488.58,-5,17.66,0,0,-2.5,62.89,83.12,136.6,0,0,0,0,0.77,0,0,0,1.77,0,0,0,0,-2.5,0,0,"XRF, ICP-MS",0,0,0,0,0,0,303,9,266,7,"Nasi et al. 1990; Hervé et al. 2014; Ortiz and Merino, 2015; Murillo et al. 2017",296.2,1.4,279.7,0.3,Murillo et al. 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUR-243q,Murillo et al 2017,Guanta Plutonic Complex (gr),0,Granite,P,373762,6733789,76,0.16,12.4,0.75,1.5,2.25,2.17,0.03,-0.01,0.48,3.96,3.56,0.03,0.83,101.94,70.12,147.11,16.32,59.82,8.78,1.74,6.21,0.64,2.85,0.44,1.09,0.14,0.91,0.1,10.48,19.48,1,-2.5,0.71,12.01,22,37.76,4.79,1137.61,-5,12.8,0,0,10.78,70.13,184.42,99.96,0,0,0,0,1,0,0,0,1.61,0,0,0,0,-2.5,0,0,"XRF, ICP-MS",0,0,0,0,0,0,303,9,266,7,"Nasi et al. 1990; Hervé et al. 2014; Ortiz and Merino, 2015; Murillo et al. 2017",296.2,1.4,279.7,0.3,Murillo et al. 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUR-245q,Murillo et al 2017,Guanta Plutonic Complex (gr),0,Granite,P,373347,6725363,76.27,0.09,12.44,0.53,1.05,1.58,1.53,0.03,-0.01,0.76,3.74,4.43,0.02,0.51,101.45,30.75,65.78,8.09,31.56,8.3,1.33,7.43,1.19,8.07,1.54,4.58,0.54,3.65,0.44,73.09,-2.5,1.29,10.5,0.81,14.35,38.2,38.51,-2.5,786.59,-5,-5,0,0,9.96,78.15,112.2,200.64,0,0,0,0,2.03,0,0,0,3.02,0,0,0,0,-2.5,0,0,"XRF, ICP-MS",0,0,0,0,0,0,303,9,266,7,"Nasi et al. 1990; Hervé et al. 2014; Ortiz and Merino, 2015; Murillo et al. 2017",296.2,1.4,279.7,0.3,Murillo et al. 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIS-45q,Murillo et al 2017,Guanta Plutonic Complex (gr),0,Granite,P,365721,6697157,76.64,0.08,12.86,0.39,0.78,1.17,1.14,0.01,-0.01,0.43,3.99,4.24,0.02,0.52,101.12,28.74,63.46,6.86,26.12,5.72,0.53,5.36,0.93,6.08,1.33,3.97,0.6,4.23,0.61,51.75,-2.5,3.54,6.27,1.52,18.23,31.05,-2.5,-2.5,235.98,11.49,-5,0,0,-2.5,16,51.86,184.24,0,0,0,0,3.58,0,0,0,4.38,0,0,0,0,34.75,0,0,"XRF, ICP-MS",0,0,0,0,0,0,303,9,266,7,"Nasi et al. 1990; Hervé et al. 2014; Ortiz and Merino, 2015; Murillo et al. 2017",296.2,1.4,279.7,0.3,Murillo et al. 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUM-16q,Murillo et al 2017,Guanta Plutonic Complex (gr),0,Granodiorite,P,359840,6682005,70.07,0.31,15.11,1.19,2.38,3.58,3.46,0.06,0.66,3.08,3.06,3.02,0.09,0.53,103.15,35.54,67.74,7.26,27.37,5.74,1.04,5.24,0.85,5.23,1.08,3.2,0.5,3.83,0.52,37.72,8.29,3.1,12.33,1.21,12.38,58.57,9.85,-2.5,461.18,20.71,41.81,0,0,-2.5,35.93,119.26,149.19,0,0,0,0,1.5,0,0,0,8.07,0,0,0,0,9.69,0,0,"XRF, ICP-MS",286.6,1.3,0,286.6,0,0,303,9,266,7,"Nasi et al. 1990; Hervé et al. 2014; Ortiz and Merino, 2015; Murillo et al. 2017",296.2,1.4,279.7,0.3,Murillo et al. 2017,Ar-Ar,amphibole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUM-27q,Murillo et al 2017,Guanta Plutonic Complex (gr),0,Granite,P,355863,6701062,78.86,0.33,12.04,0.43,0.85,1.28,1.24,0.03,0.17,0.42,3.17,2.81,0.03,0.48,100.9,37.55,73.73,37.49,172.17,5.01,0.6,63.28,0.77,6.79,1.53,2.8,0.43,3.23,0.45,41.33,-2.5,2.6,11.93,1.28,15.3,61.27,4.5,-2.5,525.62,35.18,11.23,0,0,-2.5,22.66,115.56,173.85,0,0,0,0,2.22,0,0,0,4.21,0,0,0,0,42.27,0,0,"XRF, ICP-MS",0,0,0,0,0,0,303,9,266,7,"Nasi et al. 1990; Hervé et al. 2014; Ortiz and Merino, 2015; Murillo et al. 2017",296.2,1.4,279.7,0.3,Murillo et al. 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIS-18q,Murillo et al 2017,Guanta Plutonic Complex (gr),0,Granite,P,362996,6733474,74.8,0.11,13.27,0.27,0.53,0.8,0.77,0.02,-0.01,1.55,3.73,4.23,0.02,1.4,100.73,28.19,62.25,6.73,25.62,5.61,0.52,5.25,0.91,5.97,1.3,3.89,0.59,4.15,0.6,78.89,-2.5,3.47,11.13,1.49,17.88,21.17,-2.5,-2.5,464.37,-5,-5,0,0,-2.5,58.37,77.44,207.51,0,0,0,0,3.52,0,0,0,4.3,0,0,0,0,16.36,0,0,"XRF, ICP-MS",291,4,0,291,0,0,303,9,266,7,"Nasi et al. 1990; Hervé et al. 2014; Ortiz and Merino, 2015; Murillo et al. 2017",296.2,1.4,279.7,0.3,Murillo et al. 2017,U-Pb,zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIS-19q,Murillo et al 2017,Guanta Plutonic Complex (gr),0,Granite,P,370972,6725936,73.29,0.17,14.9,0.55,1.11,1.66,1.61,0.03,0.12,0.52,3.09,4.85,0.02,0.9,101.21,48.7,103.1,10.53,39.65,6.53,1.46,5.14,0.78,4.89,1.09,3.39,0.53,3.83,0.57,57.77,-2.5,7.05,21.61,1.87,15.8,37.91,-2.5,-2.5,1076.44,10.05,13.13,0,0,-2.5,64.07,143.48,218.34,0,0,0,0,3.37,0,0,0,3.71,0,0,0,0,7.05,0,0,"XRF, ICP-MS",0,0,0,0,0,0,303,9,266,7,"Nasi et al. 1990; Hervé et al. 2014; Ortiz and Merino, 2015; Murillo et al. 2017",296.2,1.4,279.7,0.3,Murillo et al. 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCM-071q,Murillo et al 2017,Guanta Plutonic Complex (gr),0,Granite,P,381775,6733179,64.54,0.64,15.41,1.37,3.44,4.81,4.68,0.08,2.49,4.6,3.03,2.88,0.12,1.28,104.68,19.78,38.52,4.35,16.21,3.61,0.78,3.28,0.49,2.89,0.58,1.7,0.26,1.84,0.25,32.79,6.8,4.05,-2.5,0.86,9.71,54.92,15.49,16.93,459.6,45.67,103.39,0,0,-2.5,377.15,54.92,112.37,0,0,0,0,1.94,0,0,0,3.77,0,0,0,0,10,0,0,"XRF, ICP-MS",0,0,0,0,0,0,303,9,266,7,"Nasi et al. 1990; Hervé et al. 2014; Ortiz and Merino, 2015; Murillo et al. 2017",296.2,1.4,279.7,0.3,Murillo et al. 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUC-16q,Murillo et al 2017,Primero Granodiorite,0,Granodiorite,P,401011,6712734,70.6,0.55,14.49,1.23,2.47,3.7,3.58,0.09,1.13,2.48,3.63,2.17,0.23,0.77,103.54,30.43,66.34,7.1,27.17,5.6,1.33,4.57,0.67,3.85,0.79,2.25,0.32,2.43,0.32,33.12,19.92,5.75,16.65,1.01,12.56,86.12,9.31,-2.5,1088.74,14.11,90.22,0,0,-2.5,368.12,220.68,101.45,0,0,0,0,1.79,0,0,0,3.04,0,0,0,0,25.17,0,0,"XRF, ICP-MS",276,1.8,0,276,0,0,276,1.8,276,1.8,Murillo et al. 2017,276,1.8,276,1.8,Murillo et al. 2017,U-Pb,zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUR-242q,Murillo et al 2017,Estero Los Tilos Metadiorites,0,Amphibolite,M,372694,6733523,59,1.12,17.39,2.23,5.58,7.81,7.59,0.1,2.03,4.8,3.77,2.25,0.25,1.06,99.57,31.61,68.98,8.46,33.15,8.01,1.26,7.31,1.04,6.12,1.17,3.67,0.44,3.07,0.41,12,17,2.45,-2.5,0.96,9.72,125.64,32.92,-2.5,461.35,33.74,176.78,0,0,28,272.14,167.23,86.25,0,0,0,0,1.31,0,0,0,7.38,0,0,0,0,25.78,0,0,"XRF, ICP-MS",0,0,326.6,326.6,2.6,Murillo et al. 2017,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUR-290q,Murillo et al 2017,Estero Los Tilos Metadiorites,0,Granodiorite,P,405479,6711850,64.83,0.63,14.97,1.18,2.95,4.14,4.02,0.07,3.52,4.29,3.44,3.49,0.16,0.52,100.05,30.87,69.34,8.88,29.92,5.69,1.52,5.53,0.81,4.56,0.87,2.46,0.39,2.77,0.38,66,20,1.74,28,-0.05,42.48,69.11,8.8,78,429.36,33.88,132.38,0,0,21,458.77,230.76,205.3,0,0,0,0,15.55,0,0,0,19.2,0,0,0,0,46.88,0,0,"XRF, ICP-MS",0,0,325.9,325.9,1.3,Murillo et al. 2017,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIS-59q,Murillo et al 2017,Estero Los Tilos Metadiorites,0,Tonalite,P,380774,6686755,72.81,0.17,14.5,0.74,1.48,2.22,2.15,0.04,0,1.63,3.93,3.85,0.05,0.5,99.69,12.62,29.16,3.14,11.41,2.26,0.56,1.77,0.27,1.56,0.3,0.83,0.13,0.86,0.13,64,18,3.21,15,1.16,4.8,67.55,0,-2.5,757.7,20.47,12.57,0,0,-2.5,86.68,103.62,168.46,0,0,0,0,0.76,0,0,0,1.77,0,0,0,0,21.11,0,0,"XRF, ICP-MS",0,0,326.3,326.3,2.1,Murillo et al. 2017,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT10,Oliveros 2002,La Negra Formation,0,Andesite,V,371792,7530559,55.73,1.71,12.65,6.99,6.22,13.21,12.51,0.46,2.63,4.06,3.6,2.54,0.5,2.55,99.64,29,73,0,41,9.5,1.88,10.36,0,9.2,1.87,4.92,0,5.08,0.75,49,32,10.2,10,0,11,171,23,5,440,5,230,0,0,61,140,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT22,Oliveros 2002,La Negra Formation,0,Andesite,V,371792,7530559,53.12,1.63,13.35,6.83,5.89,12.72,12.04,0.41,3.4,5.3,3.94,3,0.41,2.57,99.85,21,54,0,33,7.79,1.65,8.2,0,7.9,1.6,4,0,3.98,0.59,39,34,8.3,10,0,9,198,26,11,400,10,323,0,0,103,135,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT24,Oliveros 2002,La Negra Formation,0,Andesite,V,371792,7530559,54.93,1.6,13.56,7.89,4.69,12.58,11.79,0.31,3.4,4.06,4.3,2,0.41,2.66,99.81,25,60,0,30,7.32,1.57,6.69,0,6.14,1.28,3.64,0,3.6,0.54,33,29,6.9,11,0,10,119,25,11,400,10,270,0,0,20,150,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV05,Oliveros 2002,La Negra Formation,0,Quartz monzonite,P,392133,7489160,62.03,1.07,14.83,2.77,4.18,6.95,6.67,0.1,1.65,4.09,4.01,3.79,0.26,0.99,99.77,28,70,0,40,9.16,1.62,9.62,0,9,1.9,4.98,0,5,0.75,49,19,13.7,16,0,25,60,14,6,410,7,104,0,0,230,184,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV12,Oliveros 2002,La Negra Formation,0,Monzonite,P,385731,7485656,54.01,1.34,16.83,6.52,3.43,9.95,9.3,0.2,2.9,6.5,4.16,2.42,0.34,1.13,99.78,20,45,0,26,6.6,1.56,7.05,0,7.01,1.47,3.98,0,3.95,0.59,38,24,7.9,7,0,12,350,17,4,320,7,230,0,0,255,300,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV13,Oliveros 2002,La Negra Formation,0,Basalt,V,394965,7485547,50.75,1.7,15.24,9.29,4.55,13.84,12.91,0.18,3.8,6.38,3.66,2.91,0.45,0.88,99.79,24,60,0,37,8.6,2.03,7.7,0,7.78,1.53,4.03,0,4.09,0.61,38,30,6.4,12,0,10,66,24,7,830,14,335,0,0,350,300,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCBB,Oliveros 2002,La Negra Formation,0,Andesite,V,372435,7484068,51.62,1.85,14.71,8.49,3.94,12.43,11.58,0.28,3.4,5.46,4.06,2.7,0.47,2.96,99.94,26,63,0,37,8.79,2.15,8.76,0,7.7,1.59,4.06,0,4.08,0.61,38,30,6.6,19,0,8,281,26,12,420,9,348,0,0,14,210,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QLF26,Oliveros 2002,La Negra Formation,0,Andesite,V,373318,7490228,56.07,1.75,13.3,7.26,4.41,11.67,10.94,0.16,2.7,3.5,4.04,3.67,0.59,2.43,99.88,32,76,0,45,10,2.36,9.81,0,9.41,1.91,5.2,0,5.18,0.78,48,26,7.8,15,0,13,140,27,4,630,-2,251,0,0,92,146,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME07,Oliveros 2002,La Negra Formation,0,Volcanic breccia,V,380096,7491753,52.3,1.7,14.11,5.38,4.78,10.16,9.62,0.06,2.74,2.54,6.92,0.01,0,4.93,99.23,16,40,0,29,7.56,1.8,7.8,0,6.75,1.43,3.91,0,3.86,0.58,37,24,5.9,10,0,10,157,20,13,18,24,311,0,0,37600,35,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS03,Oliveros 2002,La Negra Formation,0,Andesite,V,380096,7491753,51.8,1.78,14.27,9.18,4.22,13.4,12.48,0.1,3.8,2.29,5.97,1.64,0,3.6,99.2,25,63,0,41,9.34,2.18,8.87,0,8.23,1.51,4.03,0,4.01,0.61,39,28,6,12,0,10,130,35,13,120,10,338,0,0,5500,46,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VO163,Oliveros et al 2007,Oficina Viz Formation,0,Andesite,V,394476,7742760,53.3,1.45,16.69,2.83,5.94,8.77,8.49,0.19,3.88,7.57,3.19,2.66,0.33,1.58,99.61,18.42,42.18,5.78,25.17,5.93,1.8,5.73,0.86,5.11,1,2.83,0.42,2.8,0.44,28.57,0,4.89,4.77,0.41,4.28,114.4,26.5,19.26,373.9,24.62,282.6,0,0,37.97,401.6,193,81.39,2.99,1.31,0.31,1.6,1.19,0.34,-0.05,-0.1,1.83,20.69,1.36,0.08,1.06,11.47,0,0,"ICP-AES, ICP-MS",0,0,176,175.8,3,Oliveros et al 2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VO76,Oliveros et al 2007,Camaraca Formation,0,Andesite,V,359691,7948875,54.04,1.04,16.06,2.66,5.59,8.25,7.98,0.13,4.53,8,3.22,0.99,0.27,2.7,99.24,17.17,38.67,5.19,22.07,5.37,1.31,5.05,0.78,4.66,0.95,2.67,0.41,2.79,0.43,27.87,0,4.32,5.01,0.44,7.55,80.8,25.51,26.78,277.6,58.68,236,0,0,146.7,392.9,163.2,21.15,3.82,1.09,0.46,1.76,1.9,0.72,-0.05,-0.1,18.2,17.32,1.41,-0.1,1.84,6.82,0,0,"ICP-AES, ICP-MS",0,0,159,159.2,1,Oliveros et al 2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VO69,Oliveros et al 2007,Camaraca Formation,0,Andesite,V,360165,7956287,51.79,1.15,17.19,2.82,5.92,8.74,8.46,0.12,3.18,9.05,3.32,0.86,0.27,3.98,99.65,20.39,46.86,6.38,27.66,6.61,1.45,6.25,0.98,5.89,1.2,3.43,0.51,3.54,0.54,34.91,0,5.69,6.02,0.55,10.01,91.75,24.6,18.05,227.3,33.23,218.1,0,0,167.5,294.9,216.9,25.57,3.97,1.43,0.58,2.76,2.96,1.02,-0.05,-0.1,0.47,19.02,1.24,-0.1,2.09,9.35,0,0,"ICP-AES, ICP-MS",0,0,158,157.9,1,Oliveros et al 2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VO175,Oliveros et al 2007,Camaraca Formation,0,Andesite,V,367518,7924092,53.13,0.99,16.86,1.98,7.13,9.11,8.91,0.23,5.1,8.31,2.9,1.4,0.21,2.2,100.45,11.84,26.9,3.77,17.09,4.38,1.19,4.55,0.73,4.56,0.93,2.69,0.41,2.79,0.43,26.05,0,3.46,2.76,0.27,6.13,87.19,27.01,19.87,345.9,55.59,255.3,0,0,468.4,324.1,120.5,32.84,7.04,0.63,1.2,1.57,1.58,0.67,-0.05,-0.1,10.35,19.17,1.55,0.07,1.08,8.55,0,0,"ICP-AES, ICP-MS",0,0,157,157.2,1,Oliveros et al 2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VO177,Oliveros et al 2007,Camaraca Formation,0,Basaltic andesite,V,359277,7925785,54.2,0.99,15.92,2.53,5.32,7.85,7.6,0.28,4.93,5.71,4.32,3.06,0.2,2.14,99.61,13.74,31.19,4.19,18.11,4.34,1.12,4.35,0.69,4.24,0.84,2.41,0.37,2.5,0.39,24.15,0,4.13,3.89,0.37,6.86,152.2,26.33,28.6,953.4,53.64,197.2,0,0,7.09,218.9,158.3,90.09,20.16,1.06,0.92,1.72,1.76,0.69,-0.05,-0.1,0.55,18.16,1.56,-0.1,1.56,11.64,0,0,"ICP-AES, ICP-MS",0,0,0,0,0,0,159,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VO180,Oliveros et al 2007,Camaraca Formation,0,Basaltic andesite,V,359190,7925661,50.26,1.08,16.9,4.73,2.84,7.57,7.1,0.17,4.46,9.46,2.82,1.58,0.22,6.15,100.66,14.08,29.72,3.97,17.26,4.14,1.2,4.19,0.65,4.04,0.82,2.35,0.35,2.35,0.37,22.67,0,2.76,3.64,0.32,2.82,85.26,22.94,19.57,280.4,56.92,259.4,0,0,6.8,234.5,97.41,30.72,3.91,0.76,0.63,1.34,0.74,0.34,-0.05,-0.1,1.3,18.71,1.44,0.06,0.93,2.92,0,0,"ICP-AES, ICP-MS",0,0,0,0,0,0,159,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VO13,Oliveros et al 2007,La Negra Formation,0,Andesite,V,383190,7402294,49.93,1.32,19.31,1.98,7.13,9.11,8.91,0.21,4.72,4.89,3.95,3.5,0.16,2.04,99.15,11,26.24,3.72,16.98,4.53,1.4,4.62,0.76,4.71,0.96,2.77,0.42,2.78,0.43,27.69,0,3.26,3.56,0.31,2.26,217.7,31.23,42.7,1134,82.39,259.4,0,0,-2.5,288.6,124.9,102.2,2.46,0.88,-0.25,1.21,0.52,1.46,-0.05,-0.1,1.11,18.55,1.13,-0.1,2.41,20.92,0,0,"ICP-AES, ICP-MS",156,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VO131B,Oliveros et al 2007,La Negra Formation,0,Andesite,V,392109,7400763,54.54,1.44,15.09,3.11,6.54,9.65,9.34,0.24,3.47,5.47,3.64,3.01,0.26,1.7,98.5,17.17,40.64,5.69,25.58,6.51,1.78,6.45,1.05,6.37,1.29,3.66,0.54,3.72,0.57,36.86,0,5.4,4.24,0.39,6.77,785.1,27.69,22.72,338.8,40.63,296.1,0,0,82.56,378,188.3,163,5.68,1.2,0.3,2.02,1.75,0.54,-0.05,0.44,1.63,20.79,1.47,0.07,1.66,9.11,0,0,"ICP-AES, ICP-MS",156,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VO3,Oliveros et al 2007,La Negra Formation,0,Granodiorite,P,382886,7556560,52.7,0.84,17.78,1.5,7.64,9.14,8.99,0.13,4.67,8.46,3.27,1.2,0.17,0.65,99.01,8.32,18.46,2.53,11.13,2.88,1,2.8,0.45,2.84,0.58,1.68,0.26,1.77,0.28,16.85,0,2.16,1.73,0.16,2.77,43.91,26.41,23.66,211.3,139.2,281.8,0,0,19.55,348.9,78.18,35.36,2.43,0.55,-0.25,0.61,0.9,4.2,-0.05,-0.1,1.47,17.48,1.37,-0.1,5.86,3.73,0,0,"ICP-AES, ICP-MS",0,0,156,155.6,1,Oliveros et al 2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
