Sample,Reference,Unit,Location,Petrography,Rock type,East,North,sio2,tio2,al2o3,fe2o3,feo,Measured Fe,feo_tot,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,y_ppm,sc_ppm,hf_ppm,nb_ppm,ta_ppm,th_ppm,zn_ppm,co_ppm,ni_ppm,ba_ppm,cr_ppm,v_ppm,se_ppm,br_ppm,cu_ppm,sr_ppm,zr_ppm,rb_ppm,as_ppm,be_ppm,sb_ppm,sn_ppm,u_ppm,w_ppm,bi_ppm,cd_ppm,cs_ppm,ga_ppm,ge_ppm,In_ppm,mo_ppm,pb_ppm,ag_ppm,Tl,Analytical technique (element),Age (Ma) dating,±,Age (Ma) reference,age,±,Reference,Age max (Ma),±,Age min (Ma),±,Reference,Preferred Age max (Ma),±,Preferred Age min (Ma),±,Reference(s),Radiometric dating technique,Dated material,87Sr/86Sr,±,87Rb/86Sr,±,(87Sr/86Sr)i,147Sm/144Nd,±,143Nd/144Nd,±,eNd,(143Nd/144Nd)i,eNdi,(206Pb/204Pb)i,206Pb/204Pb,(207Pb/204Pb)i ,207Pb/204Pb,(208Pb/204Pb)i,208Pb/204Pb,208Pb/206Pb,207Pb/206Pb
K 37 *,Bartsch 2004,Jurassic volcanic rocks,Quebrada La Tranquita,Undefined volcanic rock,V,446651,7050987,49.6,1.95,13.83,7.95,4.37,12.32,11.52,0.21,4.26,6.96,3.75,1.46,0.38,6.88,101.6,23,54,7.3,33,8.1,2,8,1.5,8.1,1.6,4.8,0.7,4.6,0.69,41,41,6.2,8,0.56,4.3,95,0,15,185,23,378,0,0,0,214,217,24,0,0,0,0,1.3,0,0,0,0.89,0,0,0,0,2.6,0,0,"XRF, ICP-MS, TMS",161,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705775,0,0.323264,0,0.705035,0.148436,0,0.51287,0.000005,0,0.512714,6,18.00448,18.938,15.574,15.62,37.824415,38.808,0,0
96-77a*,Bartsch 2004,Triassic volcanic rocks,Quebrada Cachina,Undefined volcanic rock,V,340251,7137189,64.5,0.53,15.4,2.3,1.68,3.98,3.75,0.06,2.59,3.58,4.22,1.15,0.13,3.59,99.7,14,29,3.7,14,2.9,0.95,3.1,0.57,3.2,0.63,2,0.29,1.9,0.32,17,9.5,3.9,5,0.36,4.6,62,0,20,298,33,75,0,0,0,212,158,28,0,0,0,0,1.3,0,0,0,2.4,0,0,0,0,4.2,0,0,"XRF, ICP-MS, TMS",211,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705853,0,0.380702,0,0.704711,0.125261,0,0.512631,0.000005,0,0.512458,2,18.243175,19.006,15.603595,15.642,38.105472,38.963,0,0
I-22,Berg et al 1985,0,0,Granite,P,338331,7101159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,3,0,248,0,0,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0.8,0,25.3,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA5,Breitkreuz et al 1989,Chañaral Epimetamorphic complex,South of Chañaral,Tuff (andesitic),V,353338,7080226,63.38,0.6,14.93,2.1,7.88,0,9.77,0.06,1.88,2.93,2.2,2.79,0.21,0.78,100.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,11,0,0,37,0,-10,422,-10,31,0,0,0,197,203,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.9,0.4,323.2,358.9,0.4,Breitkreuz et al 1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA62.1,Breitkreuz et al 1989,Chañaral Epimetamorphic complex,South of Chañaral,Basalt,V,352123,7072581,46.32,2.65,12.82,4.15,9.14,0,12.87,0.35,10.15,8.69,0.63,1.16,0.61,1.81,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,63,0,0,69,0,293,533,260,278,0,0,0,306,213,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.9,0.4,323.2,358.9,0.4,Breitkreuz et al 1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA62.2,Breitkreuz et al 1989,Chañaral Epimetamorphic complex,South of Chañaral,Basalt,V,352123,7072581,43.57,2.07,10.41,3.57,11.43,0,14.64,0.34,14.92,8.59,0.45,0.36,0.47,2.08,99.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,44,0,0,1075,0,422,214,467,216,0,0,0,222,150,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.9,0.4,323.2,358.9,0.4,Breitkreuz et al 1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA62.3,Breitkreuz et al 1989,Chañaral Epimetamorphic complex,South of Chañaral,Basalt,V,352123,7072581,47.74,2.42,12.11,3.92,9.97,0,13.5,0.46,11.7,7.81,0.63,0.21,0.61,1.05,99.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,51,0,0,81,0,198,334,265,245,0,0,0,328,184,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.9,0.4,323.2,358.9,0.4,Breitkreuz et al 1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA81,Breitkreuz et al 1989,Chañaral Epimetamorphic complex,South of Chañaral,Basalt,V,346156,7082789,51.7,1.99,13.06,3.49,5.56,0,8.7,0.15,8.26,10.82,3.87,0.33,0.2,2.01,102.14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,105,304,324,318,0,0,0,436,76,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.9,0.4,323.2,358.9,0.4,Breitkreuz et al 1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA82,Breitkreuz et al 1989,Chañaral Epimetamorphic complex,South of Chañaral,Basalt,V,346156,7082789,48.33,1.88,9.45,3.38,6.66,0,9.7,0.18,10.3,10,0.84,0.72,0.25,6.75,99.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,22,0,0,90,0,200,416,1701,276,0,0,0,299,97,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.9,0.4,323.2,358.9,0.4,Breitkreuz et al 1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA83,Breitkreuz et al 1989,Chañaral Epimetamorphic complex,South of Chañaral,Basalt,V,346156,7082789,43.09,1.91,12.4,3.41,9.09,0,12.16,0.22,14.59,7.27,0.9,0.21,0.3,5.47,99.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,23,0,0,113,0,408,128,576,236,0,0,0,150,112,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.9,0.4,323.2,358.9,0.4,Breitkreuz et al 1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA84,Breitkreuz et al 1989,Chañaral Epimetamorphic complex,South of Chañaral,Basalt,V,346156,7082789,47.1,2.13,12.28,3.63,10.67,0,13.94,0.2,9.3,7.21,3.24,0.18,0.41,1.71,99.24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,228,62,405,151,0,0,0,237,106,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.9,0.4,323.2,358.9,0.4,Breitkreuz et al 1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA85,Breitkreuz et al 1989,Chañaral Epimetamorphic complex,South of Chañaral,Basalt,V,346156,7082789,49.84,2.29,14.09,3.79,7.47,0,10.88,0.18,7.09,11.13,3.44,0.47,0.4,1.52,102.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,95,295,305,303,0,0,0,474,94,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.9,0.4,323.2,358.9,0.4,Breitkreuz et al 1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA86a,Breitkreuz et al 1989,Chañaral Epimetamorphic complex,South of Chañaral,Basalt,V,346156,7082789,41.73,4.14,11.96,5.64,8.3,0,13.37,0.18,7.78,14.09,1.36,1.34,0.54,1.06,99.05,38.88,64.94,0,20.19,10.15,2.55,0,1.16,0,0,0,0,1.93,0.22,27,0,0,55,0,0,108,0,81,1363,-10,455,0,0,0,722,293,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.9,0.4,323.2,358.9,0.4,Breitkreuz et al 1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA86b,Breitkreuz et al 1989,Chañaral Epimetamorphic complex,South of Chañaral,Basalt,V,346156,7082789,41.72,4.04,11.6,5.54,7.91,0,12.89,0.17,8.08,15.17,1.18,1,0.51,1.13,98.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,52,0,0,116,0,65,1033,-10,447,0,0,0,659,286,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.9,0.4,323.2,358.9,0.4,Breitkreuz et al 1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
