Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl
FL-16-15,Rodriguez et al 2019,Granodiorite,P,Flamenco Pluton,Coastal Range batholith,333500,7067000,194,67.6,0.44,15.58,4.55,4.42,1.3,3.25,4.42,0.09,1.58,4.24,3.58,2.24,0.11,0.39,100.4,100.01,225,84.1,368,10.4,0,0,6.4,0,-5,24.4,20.6,41.4,5.2,19.4,3.8,1,4,0.6,3.7,0.9,2.4,0.4,2.3,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaB-292,Girardi 2014,Grd,P,Grd Cerro Chascón,Caldera-Pajonales,,,195.5,63.76,0.57,15.9,,,1.67,3.28,3.28,0.09,2.61,5.27,3.11,2.22,0.12,0.8,99.4,98.6,315,99,314,16.2,2.12,0.56,6,170,4.2,24.8,16,35.8,4.44,17.8,4.04,0.58,4.02,0.64,3.93,0.78,2.29,0.35,2.35,0.38,,,,,,,,,,,,,,,,,,,,,,,,
C9K-120,Girardi 2014,Dio,P,Grd Cerro Chascón,Caldera-Pajonales,,,196,63.16,0.63,16.22,,,5.85,,5.85,0.1,2.67,5.32,3.42,2.2,0.13,0.79,100.49,99.7,336,95,267,14.2,1.67,0.66,6.3,181,4.2,24.2,23.9,52.3,5.82,21.8,4.55,0.87,4.02,0.66,3.77,0.74,2.18,0.34,2.3,0.37,,,,,,,,,,,,,,,,,,,,,,,,
CaB-293,Girardi 2014,Ton,P,Mg Puerto Viejo,Caldera-Pajonales,,,196.1,61.88,0.82,15.78,,,1.7,4.31,4.31,0.1,2.79,5.48,2.99,2.46,0.13,0.7,99.14,98.44,239,134,320,7.72,1.35,0.59,7.6,220,5,25.9,17.4,39.7,4.71,19,4.28,0.64,4.29,0.68,4.1,0.83,2.42,0.37,2.52,0.37,,,,,,,,,,,,,,,,,,,,,,,,
03_78,Vasquez et al 2011,Granite,P,Jurassic Pluton,La Estrella,246754,6206702,197,76,0.12,12,1.07,1.03,0.36,0.71,1.03,0.03,0.25,0.33,3.68,4.54,0.05,0.33,98.6,98.27,33,195,753,14,5.2,1.4,15,129,5,45,45,90,11,43,9.4,1,9,1.6,9.4,1.8,5.2,0.84,5,0.72,2,52,140,-2.5,-15,-15,0,0,0,0,0,0,4.4,0,0,0,2,23,0,0,0,23,0,0
05_24,Vasquez et al 2011,Granite,P,Jurassic Pluton,La Estrella,246754,6206702,197,77,0.14,11.9,1.56,1.51,0.52,1.04,1.51,0.03,0.05,0.09,4.3,4.17,0.04,0.53,99.8,99.27,16,147,1170,13,2.6,2.5,28,487,15,89,51,59,13.2,51,10.8,1.6,10.5,2.1,13.2,2.8,8.8,1.48,9.7,1.43,1,90,-0.5,-10,-10,-2.5,0,0,0,0,0,0,10,0,0,0,2,28,0,0,0,14,0,0
CPV-12-92,Coloma et al 2017,Quartz diorite,P,Algodones Granite,0,298038,6887501,201,53.61,0.91,13.59,7.49,7.3,1.94,5.55,7.3,0.1,4.36,6.21,3.18,1.58,0.26,0,91.33,91.33,318.91,18.24,214.04,4.19,0.74,0.27,3.98,7.34,0.68,12.32,9.76,36.11,3.57,19.74,4.47,1.06,4.24,0.65,3.62,0.72,2.05,0.28,1.83,0.26,10.93,61.9,21.08,30.28,68.36,178.39,0,0,44.93,-0.25,0,0.14,2.99,0.44,-0.5,0.01,0.34,14.77,0.75,0,0.3,5.52,0.02,0
2379-R,Gana 1991,Granite,P,Tranquilla - Millahue Plutonic Complex,0,242797,6622045,201,77.05,0.07,12.6,0.81,0.75,0.55,0.26,0.75,0.03,0.05,0.62,3.71,4.53,0.06,0.44,99.97,99.53,27,212,135,0,0,0,0,-0.25,0,0,-0.03,0,0,0,-0.05,-0.03,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBR-5,Parada et al 1999,Leucogranite,P,Limarí Complex,0,269154,6477058,203,71.53,0.17,11.83,3.79,3.59,2,1.79,3.59,0,0.19,0.81,3.34,4.62,0.04,0,96.32,96.32,39,173,432,26.6,3.3,0,-2.5,107,0,30,26.1,52.7,0,22.5,5.39,0.56,4.68,0,4.95,0,2.47,0,2.8,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
CBR-7,Parada et al 1999,Gabbro,P,Limarí Complex,0,269154,6477058,203,49.8,0.88,15.9,15.36,14.55,8.09,7.27,14.55,0.13,8.42,11.5,1.99,0.44,0.11,1.2,105.73,104.53,162,25,-5,1.2,0.3,0,8,77,0,18,6.7,15.6,2.1,9.4,2.9,0.96,3.1,0.5,3.9,0.7,2.4,0.3,1.9,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
D-18A,Parada et al 1999,Gabbro,P,Limarí Complex,0,265735,6509246,203,48.7,0.27,15.6,11.33,10.73,5.97,5.36,10.73,0.11,10.2,17.2,0.8,0.12,0.05,0.75,105.13,104.38,215,9,-5,-2.5,0.3,0,0,27,0,0,3.6,5,0.9,3.5,1.1,0.31,1.4,0.2,1.5,0.25,0.9,0.1,0.7,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
TEN-32,Parada et al 1999,Leucogranite,P,Limarí Complex,Altos de Talinay,263395,6564140,203,75.28,0.2,12.6,6.93,6.77,1.62,5.31,6.77,0.08,0.13,0.68,3.34,5,0.04,0.65,104.93,104.28,34,277,459,26.7,3.7,0,-2.5,189,0,30,15.9,33.2,0,14.5,3.79,0.5,3.58,0,4.45,0,2.78,0,3.32,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_74,Vasquez et al 2011,Granite,P,Triassic Pluton,Pichilemu,224545,6178316,205,76.5,0.05,12.6,0.8,0.77,0.27,0.53,0.77,0.02,0.1,0.42,3.42,4.58,0.05,0.26,98.8,98.54,10,299,162,16,4.5,2.3,24,57,-3,47,16,32,4.6,17,5.4,0.2,6.6,1.4,8.8,1.9,5.7,0.98,5.7,0.87,2,51,155,-10,-10,21,0,0,0,0,0,0,8.3,0,0,0,16,24,0,0,0,27,0,0
CPV-12-91A,Coloma et al 2017,Diorite,P,Carrizal Bajo Complex,0,301526,6884546,207,51.74,1.33,12.62,9.35,9.11,2.42,6.93,9.11,0.11,4.23,7.32,2.88,1.44,0.5,0,91.54,91.54,206.63,33.07,233.04,7.69,1.61,0.79,14.3,25.6,1.33,43.05,11.35,42.44,4.91,24.04,6.08,1.65,6.65,1.15,6.98,1.44,4.19,0.58,3.9,0.57,17.43,67.88,23.76,31.21,74.08,182.79,0,0,24.36,-0.25,0,0.26,3.87,0.78,-0.5,0.03,0.61,17.31,1.06,0,0.42,8.55,0.04,0
CPV-12-91B,Coloma et al 2017,Tonalite,P,Carrizal Bajo Complex,0,301526,6884546,207,68.22,0.41,8.73,3.13,3.04,0.89,2.24,3.04,0.05,0.52,2.2,2.7,1.25,0.11,0,87.39,87.39,130.27,27.64,432.95,55.85,1.69,0.3,6.12,102.12,2.81,26.01,57.11,106.6,16.57,45.06,8.48,1.49,7.94,1.06,5.24,1,2.79,0.36,2.42,0.36,3.8,22.21,3.42,3.59,5.77,22.61,0,0,36.59,-0.25,0,0.18,5.57,0.5,-0.5,0.02,0.95,17.71,0.54,0,0.52,14.87,0.14,0
CPV-12-93,Coloma et al 2017,Granite,P,Carrizal Bajo Complex,0,288859,6878634,207,67.83,0.12,10.44,1.11,1.07,0.37,0.74,1.07,0.04,0.33,1.01,3.63,3.96,0.07,0,88.71,88.71,50.02,234.15,231.4,14.41,3.76,0.64,6.77,74.73,2.37,33.56,11.46,38.88,3.24,15.66,3.87,0.5,4.15,0.76,4.71,0.98,3,0.45,3.27,0.48,2.61,31.61,2.36,3.86,5.48,7.14,0,0,2.75,-0.25,0,0.05,10.26,0.21,1.73,0.03,8.21,15.18,0.29,0,0.41,20.5,0.11,0
2365-R,Gana 1991,Undefined plutonic rock,P,Tranquilla - Millahue Plutonic Complex,0,241901,6619343,210,76.66,0.12,12.01,1.29,1.17,1.24,0.05,1.17,0.03,0.07,0.45,3.83,4.83,0.04,0.52,99.85,99.33,30,179,137,0,0,0,0,-0.25,0,0,-0.03,0,0,0,-0.05,-0.03,0,0,0,0,0,0,0,0,0,0,0,5,8,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG-17,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901,6619343,210,48.91,0.53,16.42,5.78,5.42,3.6,2.18,5.42,0.1,9.87,13.64,1.42,0.25,0.09,2.79,99.8,97.01,196,10,44,0,0,0,0,-0.25,0,0,-0.03,0,0,0,-0.05,-0.03,0,0,0,0,0,0,0,0,0,0,0,137,381,138,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG-18,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901,6619343,210,49.59,0.48,16.83,6.04,5.66,3.77,2.27,5.66,0.1,9.2,12.37,2.01,0.33,0.08,2.66,99.68,97.02,258,12,29,0,0,0,0,-0.25,0,0,-0.03,0,0,0,-0.05,-0.03,0,0,0,0,0,0,0,0,0,0,0,143,614,129,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG-20,Gana 1991,Undefined plutonic rock,P,Tranquilla - Millahue Plutonic Complex,0,241901,6619343,210,66.94,0.85,14.92,4.74,4.44,3,1.74,4.44,0.06,1.46,3.11,3.05,3.16,0.18,1.25,99.7,98.45,181,142,486,0,0,0,0,-0.25,0,0,37.1,0,0,0,9.63,1.74,0,0,0,0,0,0,0,0,0,0,0,5,28,82,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG-214,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901,6619343,210,56.6,1.35,15.04,8.04,7.81,2.3,5.74,7.81,0.11,5.22,7.78,2.97,1.19,0.11,1.44,99.88,98.44,170,54,190,0,0,0,0,-0.25,0,0,-0.03,0,0,0,-0.05,-0.03,0,0,0,0,0,0,0,0,0,0,0,45,180,210,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG-22,Gana 1991,Undefined plutonic rock,P,Tranquilla - Millahue Plutonic Complex,0,241901,6619343,210,74.78,0.2,12.96,1.76,1.62,1.41,0.35,1.62,0.04,0.28,0.77,4.26,3.92,0.09,0.67,99.72,99.05,65,133,252,0,0,0,0,-0.25,0,0,27.13,0,0,0,6.15,0.97,0,0,0,0,0,0,0,0,0,0,0,5,12,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
