Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl
Mamani et al 2008,"Mamani, M., Tassara, A., Wörner, G., 2008. Composition and structural control of crustal domains in the central Andes. Geochemistry, Geophysics, Geosystems 9(3[JGA1] ), . doi: 10.1029/2007GC001925.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marschik et al 2003,"Marschik, R., Fontignie, D., Chiaradia, M., Voldet, P., 2003. Geochemical and Sr–Nd–Pb–O isotope composition of granitoids of the Early Cretaceous Copiapó plutonic complex (27°30’S), Chile. Journal of South American Earth Science, 16, 381-398.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliveros 2002,"Oliveros, V., 2002. Eventos de alteración en las rocas ígneas del distrito minero de Michilla, II región, Chile: Relación con la mineralización de cobre. Tesis de Magíster y Pregrado. Universidad de Chile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliveros et al 2007,"Oliveros, V., Morata, D., Aguirre, L., Feraud, G., Fornari, M., 2007. Jurassic to Early Cretaceous subduction-related magmatism in the Coastal Cordillera of northern Chile (18°30'-24°S): geochemistry and petrogenesis. Revista Geológica de Chile 34 (2), 209-232. doi:10.5027/andgeoV34n2-a03.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parada et al 1999,"Parada, M.A., Nyström, J.O., Levi, B., 1999. Multiple sources for the Coastal Batholith of central Chile (31–34 S): geochemical and Sr–Nd isotopic evidence and tectonic implications. Lithos 46(3), 505-521. doi: 10.1016/S0024-4937(98)00080-2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichowiak 1994,"Pichowiak, S., 1994. Early Jurassic to early Cretaceous magmatism in the coastal cordillera and the central depression of north Chile. In: Reutter, K.J., Scheuber, E., Wigger, P.J. (Eds.) Tectonics of the southern Central Andes. Springer Berlin, Heidelberg, p. 203-217. doi: 10.1007/978-3-642-77353-2_14.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodriguez et al 2016,"Rodríguez, N., Díaz-Alvarado, J., Rodríguez, C., Riveros, K., & Fuentes, P., 2016. Petrology, geochemistry and thermobarometry of the northern area of the Flamenco pluton, Coastal Range batholith, northern Chile. A thermal approach to the emplacement processes in the Jurassic andean batholiths. J. South Am. Earth Sci. 67, 122-139.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodriguez et al 2019,"Rodríguez, N., Díaz-Alvarado, J., Fernández, C., Fuentes, P., Breitkreuz, C., & Tassinari, C. C. G., 2019. The significance of U–Pb zircon ages in zoned plutons--the case of the Flamenco pluton, Coastal Range batholith, northern Chile. Geosci. Front. in press",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogers and Hawkesworth 1989,"Rogers, G., Hawkesworth, C.J., 1989. A geochemical traverse across the North Chilean Andes: evidence for crust generation from the mantle wedge. Earth and Planetary Science Letters 91(3-4), 271-285. doi: 10.1016/0012-821X(89)90003-4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rossel et al 2013,"Rossel, P., Oliveros, V., Ducea, M.N., Charrier, R., Scaillet, S., Retamal, L., Figueroa, O., 2013. The Early Andean subduction system as an analog to island arcs: Evidence from across-arc geochemical variations in northern Chile. Lithos 179, 211-230. doi: 10.1016/j.lithos.2013.08.014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salazar et al 2013,"Salazar, E., Coloma, F., Creixell, C., 2013. Geología del área El Tránsito - Lagunillas, Región de Atacama. Servicio Nacional de Geología y Minería, Carta Geológica de Chile, Serie Geología Básica 149: 121 p., 1 map scale 1:100.000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasquez and Franz 2008,"Vásquez, P., Franz, G., 2008. The Triassic Cobquecura Pluton (Central Chile): An example of a fayalite-bearing A-type intrusive massif at a continental margin. Tectonophysics 459(1), 66-84. doi: 10.1016/j.tecto.2007.11.067.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasquez et al 2011,"Vasquez, P., Glodny, J., Franz, G., Frei, D., Romer, R.L., 2011. Early Mesozoic Plutonism of the Cordillera de la Costa (34–37 S), Chile: constraints on the onset of the Andean Orogeny. The Journal of Geology 119(2), 159-184. doi: 10.1086/658296.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
