,sample,closest city,unit,rock,age group1,age,latitude,longitude,utm (e),utm (n),comments,references,sio2,al2o3,fe2o3,feo,cao,mgo,na2o,k2o,cr2o3,tio2,mno,p2o5,sro,bao,loi,total,as_ppm,ba_ppm,be_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,ga_ppm,hf_ppm,li_ppm,ll,mn_ppm,mo_ppm,nb_ppm,ni_ppm,pb_ppm,rb_ppm,s_ppm,sc_ppm,sn_ppm,sr_ppm,ta_ppm,th_ppm,ti_ppm,tl_ppm,u_ppm,v_ppm,w_ppm,y_ppm,zn_ppm,zr_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,nb/y,zr/ti,la/yb,la/sm,sm/yb,sr/y,utm2long,utm2lat
10,C9G-329a,Copiapo,Copiapo Plutonic Complex,Gabbro,early Cretaceous,137,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),46.72,22.08,9.93,,12.09,7.68,1.19,0.09,,0.46,0.18,0.01,,,0.17,100.6,,42.0,,,,,,,0.1,,,,,0.3,,,2,,,,576.0,,0.12,2757.7000000000003,,0.05,,,3.3,,5.0,1.21,2.08,0.3,1.36,0.39,0.32,0.49,0.09,0.52,0.11,0.3,0.05,0.34,0.06,0.09090909090909091,0.0018131051238350797,3.5588235294117645,3.102564102564102,1.1470588235294117,174.54545454545456,inf,inf
11,DDH643-501.7,Copiapo,Punta del Cobre Formation,Andesite,early Cretaceous,136.8,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),50.57,13.78,16.18,,0.36,7.94,0.38,7.02,,0.68,0.07,0.1,,,2.1,99.18,,906.0,,,,,,,3.8,,,,,,,,290,,,,42.0,2.0,5.9,4076.600000000001,,1.3,,,5.0,,134.0,1.4,3.0,,,0.4,,,,,,,,1.5,0.31,,0.03287052936270421,0.9333333333333332,3.4999999999999996,0.26666666666666666,8.4,inf,inf
12,C9G-320,Copiapo,Copiapo Plutonic Complex,Tonalite,early Cretaceous,136.6,-27.268,-70.624,339237.0,6982826.0,,Girardi (2014),58.36,16.47,6.96,,6.4,3.52,3.48,1.41,,0.75,0.09,0.13,,,1.43,99.0,,258.0,,,,,,,4.1,,,,,3.2,,,48,,,,395.0,0.24,2.51,4496.250000000001,,0.56,,,24.9,,175.0,13.4,30.7,4.15,17.5,4.3,0.96,4.38,0.74,4.29,0.88,2.56,0.4,2.66,0.4,0.12851405622489961,0.03892132332499304,5.037593984962406,3.116279069767442,1.6165413533834585,15.863453815261044,-70.6240890857535,-27.268096168534235
13,CaB-211b,Copiapo,Copiapo Plutonic Complex,Gabbro,early Cretaceous,134.5,-27.448,-70.5,351783.0,6963037.0,,Girardi (2014),54.78,17.89,6.9,,8.19,3.66,4.67,0.86,,0.92,0.09,0.13,,,0.79,98.88,,192.0,,,,,,,2.1,,,,,3.1,,,9,,,,359.0,0.21,2.38,5515.400000000001,,0.36,,,22.7,,93.0,7.44,17.0,2.37,10.6,3.06,0.98,3.54,0.65,3.83,0.81,2.39,0.38,2.45,0.37,0.13656387665198239,0.016861877651666243,3.036734693877551,2.431372549019608,1.2489795918367346,15.814977973568283,-70.49978598039422,-27.44810600284097
14,MLP02-04,Melipilla,Upper member Lo Prado Formation,Porphyritic andesite-subvolcanic,early Cretaceous,120,-33.2,70.75,,,Approximate coordinates,Hasler (2007),52.14,17.35,1.58,7.88,8.25,4.18,2.04,2.36,,0.94,0.2,0.32,,,1.38,98.62,,689.5,1.2,31.4,126.5,338.0,70.4,19.1,2.8,12.9,,1.2,,2.7,19.6,5.0,67.8,,33.4,1.5,420.9,0.2,5.6,5635.3,0.3,1.4,290.3,,22.9,155.8,100.3,14.81,31.77,4.31,19.22,4.57,1.15,4.11,0.65,3.73,0.94,2.65,0.4,2.44,0.39,0.11790393013100438,0.01779852004329849,6.0696721311475414,3.2407002188183807,1.8729508196721314,18.37991266375546,inf,inf
15,LP02-04A,Melipilla,Upper member Lo Prado Formation,Porphyritic andesite lava,early Cretaceous,120,-33.33,70.75,,,Approximate coordinates,Hasler (2007),50.95,16.46,1.68,8.4,9.11,5.7,2.14,1.57,,0.87,0.3,0.27,,,0.92,98.37,,327.7,1.0,36.5,124.3,1.2,27.3,18.4,1.9,17.8,,1.2,,2.0,32.6,5.3,41.7,,41.0,1.0,389.2,0.1,2.6,5215.650000000001,0.1,0.7,321.9,,22.0,153.2,73.9,10.89,24.47,3.4,15.49,3.88,1.09,3.86,0.6,3.71,1.21,3.4,0.54,3.51,0.56,0.09090909090909091,0.014168895535551656,3.102564102564103,2.8067010309278353,1.1054131054131056,17.69090909090909,inf,inf
16,MLP04-23,Melipilla,Upper member Lo Prado Formation,Porphyritic andesite lava,early Cretaceous,120,-33.33,70.75,,,Approximate coordinates,Hasler (2007),56.47,15.21,2.0,6.66,8.83,1.66,2.15,0.85,,0.98,0.14,0.41,,,3.12,98.48,,108.49,1.76,18.27,37.19,0.59,458.02,20.25,2.8,19.61,,0.81,,2.68,11.05,18.62,17.72,,32.15,0.99,686.49,0.2,3.78,5875.099999999999,0.1,0.99,284.24,,24.99,164.51,84.34,20.59,41.79,5.48,22.66,5.24,1.66,4.98,0.78,4.75,1.03,3.18,0.54,3.46,0.57,0.10724289715886356,0.014355500331909247,5.9508670520231215,3.929389312977099,1.5144508670520231,27.47058823529412,inf,inf
17,TLG03-07,Melipilla,Upper member Lo Prado Formation,Ignimbrite,early Cretaceous,120,-33.33,70.75,,,Approximate coordinates,Hasler (2007),66.04,15.08,1.29,2.57,2.15,0.19,2.02,8.47,,0.63,0.09,0.16,,,0.42,99.11,,730.2,1.2,1.8,245.5,0.8,9.6,16.6,5.7,1.1,,1.4,,7.9,7.2,3.2,201.5,,11.1,2.4,61.6,0.5,15.1,3776.8500000000004,0.4,3.7,21.4,,36.3,30.5,225.7,25.62,55.39,6.91,29.09,6.22,1.19,5.36,0.88,5.47,0.61,1.65,0.25,1.63,0.27,0.2176308539944904,0.05975879370374782,15.717791411042947,4.118971061093248,3.815950920245399,1.6969696969696972,inf,inf
18,MLP04-04,Melipilla,Veta Negra,Volcanic,early Cretaceous,120,-33.33,70.75,,,Approximate coordinates,Hasler (2007),70.8,13.54,0.98,1.96,1.48,0.33,2.01,6.44,,0.32,0.18,0.09,,,1.5,99.63,,1353.27,1.52,5.2,17.41,1.8,4.29,14.24,5.69,5.42,,,0.48,5.47,1.16,6.22,166.58,,8.04,1.51,135.63,0.46,15.43,1918.4,0.55,3.53,30.61,,22.39,70.02,162.91,18.86,40.54,4.84,17.54,3.78,0.71,3.52,0.6,3.94,0.88,2.8,0.43,3.04,0.5,0.24430549352389458,0.08491972477064219,6.203947368421052,4.98941798941799,1.2434210526315788,6.057615006699419,inf,inf
19,MLP04-19,Melipilla,Veta Negra,Volcanic,early Cretaceous,120,-33.33,70.75,,,Approximate coordinates,Hasler (2007),50.02,18.23,2.33,7.77,7.61,3.49,2.71,2.52,,1.09,0.24,0.32,,,1.96,98.3,,965.9,1.01,30.72,46.02,3.36,42.92,20.51,3.6,21.84,,,0.99,2.66,18.09,18.11,107.22,,36.79,1.2,620.53,0.24,3.22,6534.550000000001,0.31,0.91,326.97,,29.8,117.19,100.86,15.92,36.36,5.08,21.76,5.58,1.66,5.65,0.92,5.76,1.2,3.27,0.52,3.26,0.5,0.08926174496644296,0.015434880749248224,4.883435582822086,2.8530465949820787,1.7116564417177915,20.823154362416105,inf,inf
