,sample,closest city,unit,rock,age group1,age,latitude,longitude,utm (e),utm (n),comments,references,sio2,al2o3,fe2o3,feo,cao,mgo,na2o,k2o,cr2o3,tio2,mno,p2o5,sro,bao,loi,total,as_ppm,ba_ppm,be_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,ga_ppm,hf_ppm,li_ppm,ll,mn_ppm,mo_ppm,nb_ppm,ni_ppm,pb_ppm,rb_ppm,s_ppm,sc_ppm,sn_ppm,sr_ppm,ta_ppm,th_ppm,ti_ppm,tl_ppm,u_ppm,v_ppm,w_ppm,y_ppm,zn_ppm,zr_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,nb/y,zr/ti,la/yb,la/sm,sm/yb,sr/y,utm2long,utm2lat
84,CA-99-6,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,93.2,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),60.45,16.98,2.25,4.16,2.62,3.82,5.13,2.46,,0.8,0.09,0.17,,,0.94,99.87,,420.0,,15.0,18.0,,72.0,,1.0,,,,,7.0,15.0,,77,,21.0,,307.0,,10.0,4796.0,,,138.0,,26.0,35.0,120.0,17.0,42.0,,21.0,5.06,1.3,4.47,,5.28,0.93,2.8,,2.63,0.43,0.2692307692307692,0.025020850708924104,6.463878326996198,3.3596837944664033,1.9239543726235742,11.807692307692308,inf,inf
85,980126.2,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),60.71,16.5,2.01,4.0,2.74,3.84,4.94,2.88,,0.73,0.11,0.12,,,0.91,99.49,,400.0,,15.0,38.0,,55.0,,7.0,,,,,9.0,16.0,,99,,16.0,,255.0,,8.0,4376.35,,,135.0,,23.0,74.0,229.0,15.0,41.0,,20.0,4.62,1.07,4.42,,4.59,0.98,2.78,,2.75,0.45,0.391304347826087,0.05232671061501022,5.454545454545454,3.2467532467532467,1.68,11.08695652173913,inf,inf
86,970120-4,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),60.9,17.1,2.46,4.12,2.59,3.51,4.76,2.46,,0.79,0.13,0.12,,,1.01,99.95,,401.0,,17.0,22.0,,95.0,,6.0,,,,,7.0,12.0,,101,,18.0,,306.0,,10.0,4736.05,,,142.0,,22.0,76.0,194.0,11.0,28.0,,20.0,4.43,1.09,4.19,,4.37,1.06,2.97,,3.01,0.41,0.3181818181818182,0.040962405380010766,3.6544850498338874,2.483069977426637,1.4717607973421927,13.909090909090908,inf,inf
87,CA-99-2,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),61.2,17.62,2.26,3.84,2.17,4.21,4.75,2.33,,0.71,0.11,0.14,,,0.6,99.94,,344.0,,12.0,10.0,,55.0,,6.0,,,,,7.0,8.0,,75,,17.0,,319.0,,9.0,4256.45,,,123.0,,25.0,59.0,128.0,16.0,41.0,,22.0,4.5,1.22,5.12,,4.77,0.95,2.63,,2.6,0.44,0.28,0.03007200836377733,6.153846153846153,3.5555555555555554,1.7307692307692306,12.76,inf,inf
88,CA-99-3,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95.7,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),61.3,16.8,2.08,4.08,2.52,3.53,4.88,2.65,,0.72,0.11,0.12,,,1.12,99.91,,354.0,,15.0,18.0,,40.0,,10.0,,,,,7.0,12.0,,93,,20.0,,270.0,,11.0,4316.400000000001,,,142.0,,26.0,54.0,236.0,16.0,41.0,,21.0,4.41,1.08,4.78,,4.97,1.1,2.86,,2.84,0.43,0.2692307692307692,0.05467519228987118,5.633802816901409,3.6281179138321993,1.5528169014084507,10.384615384615385,inf,inf
89,970120-3,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),61.59,16.49,2.2,3.6,2.45,3.78,4.73,2.92,,0.71,0.12,0.13,,,0.92,99.64,,390.0,,15.0,26.0,,45.0,,5.0,,,,,9.0,11.0,,100,,17.0,,270.0,,10.0,4256.45,,,129.0,,25.0,77.0,198.0,15.0,40.0,,20.0,4.7,1.04,4.73,,4.52,0.98,2.79,,2.75,0.52,0.36,0.04651763793771806,5.454545454545454,3.1914893617021276,1.7090909090909092,10.8,inf,inf
90,980126-6,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),61.9,16.24,1.64,4.32,2.28,3.82,4.64,2.78,,0.82,0.1,0.19,,,0.91,99.64,,410.0,,14.0,21.0,,185.0,,5.0,,,,,12.0,7.0,,91,,15.0,,273.0,,9.0,4915.9,,,119.0,,30.0,88.0,199.0,17.0,46.0,,30.0,5.35,1.08,5.41,,5.14,1.19,3.2,,3.23,0.45,0.4,0.040480888545332494,5.2631578947368425,3.1775700934579443,1.656346749226006,9.1,inf,inf
91,980124-4,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),61.9,16.81,2.32,4.0,2.18,3.8,4.92,2.29,,0.72,0.12,0.15,,,0.75,99.96,,375.0,,11.0,6.0,,77.0,,5.0,,,,,8.0,5.0,,77,,18.0,,290.0,,7.0,4316.400000000001,,,130.0,,27.0,63.0,212.0,14.0,35.0,,21.0,5.0,1.19,4.7,,4.87,0.97,2.85,,2.9,0.45,0.2962962962962963,0.0491150032434436,4.827586206896552,2.8,1.7241379310344829,10.74074074074074,inf,inf
92,980126-5,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),62.24,16.08,1.82,4.12,2.2,3.93,4.54,2.96,,0.78,0.11,0.19,,,0.75,99.72,,390.0,,15.0,18.0,,75.0,,7.0,,,,,11.0,10.0,,96,,16.0,,280.0,,10.0,4676.1,,,124.0,,31.0,74.0,213.0,21.0,56.0,,29.0,6.19,1.25,6.56,,5.7,1.0,2.8,,2.81,0.4,0.3548387096774194,0.04555077949573362,7.473309608540925,3.392568659127625,2.202846975088968,9.03225806451613,inf,inf
93,970120-1,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),63.3,16.52,2.01,3.44,2.03,4.1,4.2,2.34,,0.55,0.09,0.17,,,0.88,99.63,,420.0,,11.0,2.0,,128.0,,4.0,,,,,6.0,4.0,,74,,14.0,,298.0,,7.0,3297.2500000000005,,,97.0,,26.0,62.0,147.0,15.0,35.0,,20.0,4.61,0.96,4.48,,4.53,0.91,2.58,,2.58,0.53,0.23076923076923078,0.044582606717719304,5.813953488372093,3.2537960954446854,1.7868217054263567,11.461538461538462,inf,inf
94,980124-15,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),64.9,15.95,2.04,3.28,1.9,3.96,1.1,2.26,,0.54,0.1,0.13,,,0.61,99.77,,435.0,,9.0,7.0,,45.0,,6.0,,,,,5.0,5.0,,85,,13.0,,300.0,,8.0,3237.3,,,86.0,,25.0,52.0,191.0,16.0,38.0,,22.0,4.77,1.07,4.33,,4.57,1.15,3.36,,3.44,0.33,0.2,0.058999783770425966,4.651162790697675,3.3542976939203357,1.386627906976744,12.0,inf,inf
95,980124-3,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),65.3,16.05,1.89,2.92,1.7,3.9,4.0,2.4,,0.49,0.07,0.12,,,0.92,99.76,,432.0,,9.0,9.0,,18.0,,6.0,,,,,6.0,3.0,,84,,11.0,,297.0,,9.0,2937.5499999999997,,,78.0,,22.0,31.0,154.0,15.0,37.0,,20.0,4.65,1,4.3,,4.19,0.8,2.37,0.33,2.25,0.31,0.2727272727272727,0.05242463958060289,6.666666666666667,3.225806451612903,2.066666666666667,13.5,inf,inf
96,980124-18,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),65.82,15.92,1.83,2.8,1.77,4.0,4.18,2.12,,0.51,0.1,0.13,,,0.71,99.89,,343.0,,9.0,12.0,,22.0,,6.0,,,,,5.0,4.0,,72,,13.0,,297.0,,12.0,3057.4500000000003,,,87.0,,32.0,43.0,168.0,18.0,45.0,,26.0,5.64,1.06,4.75,,5.29,0.75,2.21,0.3,2.09,0.19,0.15625,0.05494775057646077,8.612440191387561,3.191489361702128,2.6985645933014353,9.28125,inf,inf
104,CaB-246,Copiapo,Copiapo Plutonic Complex,Gabbro,late Cretaceous,101.7,-27.467,-70.472,354550.0,6960943.0,,Girardi (2014),47.88,19.96,8.95,,11.58,4.73,3.26,0.34,,0.87,0.1,0.03,,,1.01,98.71,,73.0,,,,,,,0.3,,,,,0.5,,,2,,,,445.0,0.03,0.42,5215.650000000001,,0.23,,,11.4,,13.0,4.51,11.4,1.61,6.98,1.81,0.84,1.96,0.35,2.1,0.45,1.42,0.25,1.95,0.34,0.043859649122807015,0.002492498538053742,2.3128205128205126,2.4917127071823204,0.9282051282051282,39.03508771929825,-70.47204568315061,-27.4673029472505
105,C8K-187,Copiapo,Copiapo Plutonic Complex,Diorite,late Cretaceous,101.4,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),51.34,16.34,9.78,,8.59,5.86,2.94,1.43,,1.04,0.13,0.13,,,2.39,99.97,,242.0,,,,,,,3.0,,,,,,,,70,,,,480.0,,6.6,6234.8,,1.4,,,24.0,,98.0,25.9,48.0,,22.0,5.7,1.9,,,,0.98,2.73,0.41,2.75,0.59,,0.01571822672740104,9.418181818181818,4.5438596491228065,2.0727272727272728,20.0,inf,inf
106,C6B-163,Copiapo,Copiapo Plutonic Complex,Granodiorite,late Cretaceous,99.3,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),74.29,12.7,1.77,,1.74,0.35,2.83,4.33,,0.13,0.03,0.02,,,0.41,98.6,,588.0,,,,,,,2.1,,,,,5.7,,,82,,,,193.0,1.01,12.2,779.35,,2.86,,,15.4,,70.0,16.0,29.7,3.07,10.7,2.27,0.44,2.03,0.36,2.12,,3.49,,3.17,0.41,0.37012987012987014,0.08981843844229165,5.047318611987381,7.048458149779735,0.7160883280757098,12.532467532467532,inf,inf
107,060496-2,Illapel,Illapel Complex,Granodiorite,late Cretaceous,94,-32.0,-71.0,,,Approximate coordinates,Parada et al. (1999),70.95,14.31,1.49,1.28,2.76,1.03,3.79,3.4,,0.27,0.09,0.07,,,,99.44,,710.0,,,,,,,,,,,,4.0,,,105,,,,280.0,,,1618.65,,,,,10.0,,109.0,21.0,38.0,,14.0,2.36,0.55,1.57,,1.65,0.38,1.14,,1.15,0.19,0.4,0.06734006734006734,18.260869565217394,8.898305084745763,2.0521739130434784,28.0,inf,inf
