,Area ID,Data Source,Sample ID,Age  (Ma),Error (Ma),Mineral,Method,Location,#1 description,#2 description,Long,Lat,Rock Type,V/P,Chem Data Source,WR or Min Data,UMF,SiO2,TiO2,Al2O3,Fe#,FeO,Fe2O3,FeO(tot)*,MnO,Mn,Mg#,MgO,CaO,Na2O,K2O,LOI,SUM,Cr2O3,Cr,P2O5,Rb,Cs,Sr,Ba,Th,U,Zr,Hf,Nb,Y,Cu,Zn,Li,Cd,Ga,Ge,Mo,Sb,Sn,W,Ta,Pb,Co,Ni,La,Ce,Pr,Nd,Sm,Sc,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,V,Be,Rb.1,Sr.1,Age used,87Rb/86Sr,87Sr/86Sr(m),87Sr/86Sr(i),Sm.1,Nd.1,147Sm/144Nd,143Nd/144Nd(m),143Nd/144Nd(i),εNd,U.1,Th.1,Pb.1,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,238U/204Pb,235U/204Pb,232Th/204Pb,(206Pb/204Pb)i,(207Pb/204Pb)i,(208Pb/204Pb)i,ε(Sr)m,ε(Sr)i age corrected ,ε(Nd)i age corrected,Lu.1,Hf.1,176Lu/177Hf,176Hf/177Hf,εHf,δ18O (Qtz),δ18O (Pl),δ18O (Ksp),δ18O (Bt),δ18O (Hb),δ18O (Mg),δ18O (Zir),δ18O (wr)
0,,,,Ma,,,,,,,,,,,,,,wt%,wt%,wt%,,,wt%,,wt%,wt%,,wt%,wt%,wt%,wt%,,,wt%,,wt%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,Ma,,,,ppm,ppm,,,,,ppm,ppm,ppm,,,,,,,,,,,,,,,,,,,,,,,,,
12,Chile,Parada et al 1999,060496-4,91,1.1,Zircon,U-Pb,Illapel,,,-70.7996465879174,-31.5049845136244,Tonalite,P,,,F,58.21,0.76,16.74,,4,3.58,,0.15,,,2.63,5.64,3.52,2.55,,,,,0.22,72,,400,530,,,184,,8,29,,,,,,,,,,,,,,,23,53,,31,6.82,1.4,5.24,,4.92,,0.95,2.75,,2.74,0.43,,,72,400,,,,0.70409,6.8,31,,,0.512821,4.31,,,,,,,,,,,,,,0.7034,0.512742,0.43,,,,,,,,,,,,
13,Chile,Parada et al 1999,060496-5,91,1.1,Zircon,U-Pb,Illapel,,,-70.7996465879174,-31.5049845136244,Tonalite,P,"PARADA M. A.; NYSTRÖM J. O.; LEVI B., 1999",,F,56.94,0.83,16.52,,5,3.18,,0.15,,,2.9,5.52,3.4,3.1,,,,,0.29,115,,400,570,,,157,,8,30,,,,,,,,,,,,,,,28,62,,36,7.5,1.41,5.71,,5.3,,1.02,2.96,,2.98,0.46,,,115,400,91,,,0.70495,7.5,36,,0.512873,0.512873,5.4,,,,,,,,,,,,,,0.7039,0.512798,0.46,,,,,,,,,,,,
14,Chile,Parada et al 1999,060496-2,94,2.0,Zircon,U-Pb,Illapel,,,-70.9840810486278,-31.5692665885843,Granodiorite,P,"PARADA M. A.; NYSTRÖM J. O.; LEVI B., 1999",,F,70.95,0.27,14.31,,1.28,1.49,,0.09,,,1.03,2.76,3.79,3.4,,,,,0.07,105,,280,710,,,109,,4,10,,,,,,,,,,,,,,,21,38,,14,2.36,0.55,1.57,,1.65,,0.38,1.14,,1.15,0.19,,,105,280,94,,,0.7048,2.4,14,,,0.512809,4.47,,,,,,,,,,,,,,0.7034,0.512746,,,,,,,,,,,,,
15,Chile,Parada et al 1999,060496-1,109,1.0,Zircon,U-Pb,Illapel,,,-71.1839509760396,-31.7298250307866,Trondhjemite,V,,,F,58.62,0.65,17.22,,3.92,2.83,,0.15,,,3.1,6.64,3.48,1.95,,,,,0.19,56,,500,650,,,137,,5,26,,,,,,,,,,,,,,,16,38,,23,4.95,1.13,3.85,,3.95,,0.79,2.25,,2.26,0.35,,,56,500,,,,0.70415,5,23,,,0.51281,4.28,,,,,,,,,,,,,,0.7037,0.512717,,,,,,,,,,,,,
16,Chile,Lucassen et al 2006,181,102.75,,Zircon,U-Pb,,,,-70.5,-25.467,NOT-GIVEN,VOLCANIC,"LUCASSEN F.; KRAMER W.; BARTSCH V.; WILKE H. G.; FRANZ G.; ROMER R. L.; DULSKI P., 2006",,M,51.85,3.21,13.11,,,2.8,,0.24,,,4.03,7.66,2.68,1.93,1.29,,,,0.66,61.2,1.11815,196,250,5,,368,9.42881,13,62.6579,,190,,,,,,,,,,5.44,,22,26.9704,68.0367,9.77102,44.674,11.4354,36,2.87875,12.3668,1.92182,12.0717,2.49862,6.98799,0.999011,6.48575,0.982769,415,,61.2,196,102.75,,,0.705423,11.4354,44.674,,0.512905,,,,,,,18.7394,15.6167,38.6169,,,18.7394,15.6167,38.6169,,,,0.982769,9.42881,,,,,,,,,,,
17,Chile,Lucassen et al 2006,233,102.75,,Zircon,U-Pb,,,,-70.5,-25.467,NOT-GIVEN,VOLCANIC,"LUCASSEN F.; KRAMER W.; BARTSCH V.; WILKE H. G.; FRANZ G.; ROMER R. L.; DULSKI P., 2006",,M,52.41,1.7,18.57,,,2.7,,0.17,,,2.7,8.47,3.56,1.59,1.1,,,,0.42,36.5,1.6108,312,349,6.13,,257,7.02082,8,46.2725,,68,,,,,,,,,,6.07,,30,24.5698,58.6809,8.00122,35.8373,8.86077,24,1.9894,9.06702,1.40887,8.70665,1.75748,5.09915,0.746489,4.63343,0.688608,247,,36.5,312,102.75,,,0.70435,8.86077,35.8373,,0.512853,,,,,,,19.0897,15.6505,39.1339,,,19.0897,15.6505,39.1339,,,,0.688608,7.02082,,,,,,,,,,,
18,Chile,Lucassen et al 2006,96-192,102.75,,Zircon,U-Pb,,,,-70.547,-25.692,NOT-GIVEN,VOLCANIC,"LUCASSEN F.; KRAMER W.; BARTSCH V.; WILKE H. G.; FRANZ G.; ROMER R. L.; DULSKI P., 2006",,M,52.4,0.81,19.7,,,2.93,4.6,0.22,,,3.46,7.24,4.35,1,2.45,,,,0.11,,52.4,,0.81,,,2.93,0.22,19.7,18,,139,,,,,,,,,4.6,,,12,7.24,4.35,1,0.11,211,3.46, ,12,139,18,,,,,,211,,,,102.75,,,0.704147,211,0.11,,0.512885,,,,,,,18.41,15.59,38.24,,,18.41,15.59,38.24,,,,,0.22,,,,,,,,,,,
19,Chile,Lucassen et al 2006,95-70,109.75,,Zircon,U-Pb,,,,-70.547,-25.692,NOT-GIVEN,VOLCANIC,"LUCASSEN F.; KRAMER W.; BARTSCH V.; WILKE H. G.; FRANZ G.; ROMER R. L.; DULSKI P., 2006",,M,54.6,1.31,15.71,,,1.75,10.19,0.157,,,3.54,7.5,3.28,1.5,1.65,,,,0.25,,54.6,,1.31,,,,0.157,15.71,35,,115,,,,,,,,,10.19,,,23,7.5,3.28,1.5,0.25,246,3.54,26,23,115,35,,,,,,246,,,,109.75,,,0.704974,246,0.25,,0.5128,,,,,,,18.42,15.6,38.3,,,18.42,15.6,38.3,,,,,0.157,,,,,,,,,,,
20,Chile,Lucassen et al 2006,95-45,109.75,,Zircon,U-Pb,,,,-70.547,-25.692,NOT-GIVEN,VOLCANIC,"LUCASSEN F.; KRAMER W.; BARTSCH V.; WILKE H. G.; FRANZ G.; ROMER R. L.; DULSKI P., 2006",,M,51.1,0.969,15.89,,,2.44,7.14,0.314,,,5.68,6.25,3.24,3.67,2.89,,,,0.183,,51.1,,0.969,,,2.44,0.314,15.89,24,,201,,,,,,,,,7.14,,,35,6.25,3.24,3.67,0.183,270,5.68,103,35,201,24,,,,,,270,,,,109.75,,,0.7083,270,0.183,,0.512856,,,,,,,18.46,15.63,38.45,,,18.46,15.63,38.45,,,,,0.314,,,,,,,,,,,
21,Chile,Lucassen et al 2006,95-21,109.75,,Zircon,U-Pb,,,,-70.547,-25.692,NOT-GIVEN,VOLCANIC,"LUCASSEN F.; KRAMER W.; BARTSCH V.; WILKE H. G.; FRANZ G.; ROMER R. L.; DULSKI P., 2006",,M,53.7,1.47,15.8,,,1.43,9.03,0.13,,,1.89,8.47,3.18,1.77,2.4,,,,0.26,,53.7,,1.47,,,1.43,0.13,15.8,35,,80,,,,,,,,,9.03,,,19,8.47,3.18,1.77,0.26,303,1.89,38,19,80,35,,,,,,303,,,,109.75,,,0.705717,303,0.26,,0.512777,,,,,,,18.23,15.61,38.31,,,18.23,15.61,38.31,,,,,0.13,,,,,,,,,,,
