,reference,sample,stratigraphic unit,lithology,trace element (ppm),cs_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,nb_ppm,ta_ppm,la_ppm,ce_ppm,pb_ppm,pr_ppm,sr_ppm,nd_ppm,zr_ppm,hf_ppm,sm_ppm,eu_ppm,ti_ppm,tb_ppm,y_ppm,tm_ppm,yb_ppm,gd_ppm,dy_ppm,ho_ppm,er_ppm,lu_ppm,major oxide (wt%),sio2,p2o5,tio2,al2o3,cao,na2o,k2o,fe2o3,feo,fe2o3t,feot,mno,mgo,"isotopic data (nd, sr and pb)",εnd,143nd/144ndi,206pb/204pbi,207pb/204pbi,208pb/204pbi,87sr/86sri,co_ppm,age,longitude,latitude
10,Cochrane et al. (2014): Ecuador and Colombia,10RC42,Cajamarca,Metagranite,,4.378,128.30033333333333,747.263,9.455333333333334,9.455333333333334,9.433333333333332,0.824,26.489666666666665,51.638666666666666,17.257666666666665,5.784666666666666,225.05866666666668,24.018333333333334,180.50333333333333,5.179666666666667,4.825333333333333,0.9683333333333334,3311.679176569522,0.7676666666666666,23.703999999999997,0.3496666666666666,2.2083333333333335,4.204666666666667,4.308333333333334,0.866,2.2513333333333336,0.866,,69.51227689825552,0.1973379046082485,0.5525461329030957,14.642472521932037,1.9931128365433095,2.3680548552989817,3.1870071594232128,3.79,,,,0.06,1.54,,,,,,,,,247.12727272727273,-74.92694444444444,5.9880555555555555
11,Cochrane et al. (2014): Ecuador and Colombia,10RC43,Cajamarca,Metagranite,,3.0056666666666665,111.26800000000001,558.658,6.607333333333333,6.607333333333333,10.501666666666667,1.025,23.237666666666666,44.214333333333336,15.283999999999999,5.064,163.924,20.278666666666666,298.84799999999996,7.5089999999999995,4.482,1.002,4462.091411910661,0.4196666666666667,13.056333333333335,0.21966666666666668,1.4796666666666667,2.9890000000000003,2.632,0.459,1.301,0.459,,69.61959183673468,0.156734693877551,0.7444897959183674,13.56734693877551,1.606530612244898,2.096326530612245,3.311020408163265,4.58,,,,0.06,1.68,,,,,,,,,247.12727272727273,-74.90055555555556,5.976111111111111
12,Cochrane et al. (2014): Ecuador and Colombia,10RC53,Cajamarca,Metagranite,,4.557333333333333,61.321333333333335,1378.3756666666668,14.675,14.675,9.946,0.5356666666666666,41.751666666666665,79.89699999999999,17.76,8.901000000000002,124.76633333333335,36.58833333333333,247.879,6.638999999999999,6.536666666666666,1.5516666666666665,4760.744711782803,0.7663333333333334,23.999333333333336,0.41,2.925666666666667,5.344333333333334,4.4303333333333335,0.9796666666666667,2.616,0.9796666666666667,,66.74244404113732,0.07845130066545675,0.7943194192377495,15.425486993345432,0.6864488808227465,3.4714700544464607,2.6869570477918936,5.06,,,,0.07,2.24,,,,,,,,,247.12727272727273,-75.37444444444444,7.015555555555555
13,Cochrane et al. (2014): Ecuador and Colombia,10RC66,Cajamarca,Qts-Schist,,9.13,136.8036666666667,512.6646666666667,12.478,12.478,11.397666666666666,0.9086666666666666,36.289,71.485,19.873,7.779,120.25566666666667,30.34766666666667,238.27233333333334,6.062,6.031,1.2806666666666666,3945.5715455787267,0.801,27.68466666666667,0.39433333333333337,2.874,5.684333333333332,5.015,0.983,2.615,0.983,,69.82012304589006,0.14738275340393342,0.6583096318709026,14.36490569843671,0.9137730711043873,1.6310358043368631,3.1932929904185574,4.87,,,,0.07,1.73,,,,,,,,,247.12727272727273,-75.16305555555556,5.138888888888889
14,Cochrane et al. (2014): Ecuador and Colombia,10RC69,Cajamarca,Metagranite,,7.153333333333333,156.98600000000002,634.5883333333333,15.498666666666667,15.498666666666667,11.177333333333332,0.8663333333333334,37.64666666666667,71.122,19.737666666666666,7.627666666666667,143.38133333333334,30.318,182.9506666666667,5.080333333333333,6.026,1.151,3654.6597010258856,0.7546666666666666,27.518,0.43333333333333335,2.9393333333333334,4.796666666666667,4.935666666666666,1.0013333333333334,2.754,1.0013333333333334,,68.0387144150488,0.167195453173725,0.6097716527512322,15.500002011870032,1.2097082788451865,1.612944371793582,3.9241756362538984,4.66,,,,0.1,1.94,,,,,,,,,247.12727272727273,-75.1325,5.157500000000001
15,Litherland et al. (1994): Ecuador,SH9B,Tres Lagunas,Granitoid,,,141,1007,7,,10,,9,29,25,,76,,135,,,,3056.679396481563,,21,,,,,,,,,74.2,0.14,0.51,12.93,0.59,1.75,3.22,0.89,2.95,,,0.08,1.34,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
16,Litherland et al. (1994): Ecuador,SH9E,Tres Lagunas,Granitoid,,,143,532,9,,11,,3,21,20,,86,,191,,,,3176.5491767357416,,23,,,,,,,,,73.77,0.16,0.53,13.71,0.54,1.45,3.15,0.77,2.89,,,0.05,1.04,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
17,Litherland et al. (1994): Ecuador,SH9I,Tres Lagunas,Granitoid,,,131,733,9,,12,,15,26,23,,134,,160,,,,2876.874726100294,,22,,,,,,,,,73.09,0.17,0.48,13.41,1.23,2.51,3.28,0.48,2.96,,,0.1,1.27,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
18,Litherland et al. (1994): Ecuador,SH9J,Tres Lagunas,Granitoid,,,139,582,10,,10,,12,42,31,,118,,157,,,,3056.679396481563,,26,,,,,,,,,72.47,0.18,0.51,14.17,1.04,2.02,3.28,0.61,3.23,,,0.06,1.15,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
19,Litherland et al. (1994): Ecuador,CR23A,Tres Lagunas,Granitoid,,,125,589,9,,14,,20,51,20,,206,,258,,,,4435.181869404621,,29,,,,,,,,,71.32,0.17,0.74,12.93,2.23,2.24,3.03,0.53,3.7,,,0.06,1.93,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
20,Litherland et al. (1994): Ecuador,CR23B,Tres Lagunas,Granitoid,,,112,479,9,,14,,23,42,15,,201,,232,,,,4255.377199023352,,25,,,,,,,,,71.42,0.2,0.71,13.15,2.38,2.4,2.63,0.16,3.78,,,0.06,1.75,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
21,Litherland et al. (1994): Ecuador,CR23C,Tres Lagunas,Granitoid,,,46,236,8,,10,,12,47,7,,205,,295,,,,3236.4840668628312,,23,,,,,,,,,78.34,0.16,0.54,10.09,3.74,1.44,1.11,0.32,2.13,,,0.07,1.09,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
22,Litherland et al. (1994): Ecuador,CR23H,Tres Lagunas,Granitoid,,,125,651,7,,11,,9,33,19,,127,,183,,,,2996.7445063544733,,23,,,,,,,,,73.21,0.16,0.5,13.22,1.47,2.3,3.14,0.57,2.94,,,0.1,1.36,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
23,Litherland et al. (1994): Ecuador,SH11A,Tres Lagunas,Granitoid,,,128,818,14,,11,,29,54,22,,146,,193,,,,4255.377199023352,,33,,,,,,,,,70.2,0.18,0.71,13.67,1.96,2.46,3.18,0.95,3.52,,,0.1,1.65,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
24,Litherland et al. (1994): Ecuador,Sh11C,Tres Lagunas,Granitoid,,,132,818,12,,12,,29,52,20,,136,,197,,,,4075.572528642084,,32,,,,,,,,,20.52,0.17,0.68,13.64,1.87,2.44,3.25,0.72,3.59,,,0.1,1.57,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
25,Litherland et al. (1994): Ecuador,Sh11D,Tres Lagunas,Granitoid,,,121,861,13,,11,,29,58,22,,147,,200,,,,4315.312089150441,,34,,,,,,,,,69.85,0.17,0.72,13.53,1.95,2.33,3.14,0.86,3.73,,,0.1,1.73,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
26,Litherland et al. (1994): Ecuador,SH11E,Tres Lagunas,Granitoid,,,129,781,11,,11,,23,54,23,,139,,168,,,,3835.832968133726,,29,,,,,,,,,69.97,0.17,0.64,13.98,1.89,0.271,3.19,0.72,3.39,,,0.1,1.52,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
27,Litherland et al. (1994): Ecuador,Sh11F,Tres Lagunas,Granitoid,,,134,844,11,,13,,20,66,18,,171,,210,,,,4495.11675953171,,31,,,,,,,,,68.51,0.17,0.75,14.1,2.26,2.42,3.28,0.99,3.8,,,0.1,1.83,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
28,Litherland et al. (1994): Ecuador,SH11H,Tres Lagunas,Granitoid,,,138,982,13,,12,,23,60,37,,133,,197,,,,4255.377199023352,,30,,,,,,,,,70.01,0.17,0.71,13.87,1.51,2.39,3.44,0.78,3.69,,,0.12,1.7,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
29,Litherland et al. (1994): Ecuador,SH16A,Tres Lagunas,Granitoid,,,150,1024,12,,11,,21,35,45,,132,,178,,,,3296.418956989921,,32,,,,,,,,,71.01,0.16,0.55,13.67,1.82,2.45,4.21,0.65,2.58,,,0.11,1.15,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
30,Litherland et al. (1994): Ecuador,SH16B,Tres Lagunas,Granitoid,,,158,660,13,,12,,15,73,33,,114,,175,,,,3296.418956989921,,35,,,,,,,,,70.99,0.17,0.55,13.73,1.85,2.59,3.82,0.82,2.52,,,0.09,1.13,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
31,Litherland et al. (1994): Ecuador,SH16C,Tres Lagunas,Granitoid,,,171,723,13,,12,,15,57,25,,115,,181,,,,3476.2236273711887,,34,,,,,,,,,71.38,0.16,0.58,13.47,1.63,2.46,3.92,0.9,2.6,,,0.09,1.24,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
