,sample,longitude,latitude,elevation _m.a.s.l._,lithology,"geological unit, locality",age _ma_,dating method,mineral,reference,unnamed: 10,age group,unnamed: 12,feo,sio2,al2o3,fe2o3,mno,mgo,cao,na2o,k2o,tio2,p2o5,cr2o3,loi,tot/c,tot/s,total,unnamed: 29,sc_ppm,be_ppm,v_ppm,cr_ppm,co_ppm,ni_ppm,cu_ppm,zn_ppm,ga_ppm,ge_ppm,as_ppm,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,mo_ppm,ag_ppm,in_ppm,sn_ppm,sb_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,hf_ppm,ta_ppm,w_ppm,tl_ppm,pb_ppm,bi_ppm,th_ppm,u_ppm,s_ppm,hg_ppm,li_ppm,se_ppm,cd_ppm,au_ppm,ti_ppm,unnamed: 82,sree_ppm,_la/yb_n,_la/sm_n,_gd/yb_n,eu/eu*,age_ma,age_ma_error
255,KD-WR-38,-74.919742,6.482886,1150,Bt diorite porphyry,Dike cuts Antioquian Batholith,,,,Leal-Mejía (2011),,E Paleogene Granitoids - Providencia trend - Antioquian Batholith (ca. 61 - 59 Ma),,2.02,65.23,16.61,1.52,0.059,1.87,4.1,5.03,1.69,0.554,0.21,,0.9068,,,100,,9.0,2,78,< 20,7,< 20,< 10,50,18,1.0,< 5,21,868.0,12.1,120,2.6,< 2,< 0.5,< 0.1,< 1,< 0.2,0.5,908.0,16.3,33.0,4.39,16.9,3.45,1.07,2.95,0.45,2.34,0.44,1.24,0.179,1.14,0.172,3.2,0.2,< 0.5,0.17,10,0.3,4.04,1.53,,,,,,,,,84.021,9.71315419350063,2.9504066532134776,1.7579021393145313,0.9967411972275072,,
256,KD-WR-44,-75.099116,6.484918,1810,Qtz-bt porphyry,Dike cuts Antioquian Batholith,59.9 ± 0.9,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,E Paleogene Granitoids - Providencia trend - Antioquian Batholith (ca. 61 - 59 Ma),,1.83,71.6,14.55,0.03,0.047,0.63,2.56,4.17,2.87,0.216,0.08,,0.5752,,,99.15819999999998,,4.0,1,29,< 20,3,< 20,20,40,16,1.1,< 5,75,361.0,9.4,84,4.5,< 2,< 0.5,< 0.1,< 1,7.1,1.4,893.0,23.8,42.5,4.65,14.5,2.43,0.568,1.91,0.28,1.55,0.3,0.93,0.151,1.06,0.166,2.5,0.59,< 0.5,0.56,15,0.3,12.3,3.07,,,,,,,,,94.795,15.252766499482524,6.11623343925266,1.2240665552105723,0.7755579263964023,59.9,0.9
257,KD-WR-89,-75.357669,6.44556,n.i.,Bt granodiorite,Antioquian Batholith,,,,Leal-Mejía (2011),,E Paleogene Granitoids - Providencia trend - Antioquian Batholith (ca. 61 - 59 Ma),,0.58,69.23,16.35,1.72,0.054,0.72,3.55,4.89,1.54,0.302,0.12,,0.48,,,99.61,,4.0,1,28,20,2,< 20,< 10,70,23,1.3,< 5,33,656.0,8.5,106,4.1,2,< 0.5,< 0.1,2,< 0.2,0.8,845.0,12.4,25.7,2.93,10.7,2.21,0.723,1.78,0.27,1.42,0.26,0.73,0.115,0.78,0.119,2.9,0.36,< 0.5,0.33,11,< 0.1,2.75,0.9,,,,,,,,,60.13700000000001,10.799523964080926,3.5038280161139435,1.550254246456778,1.0756656502705897,,
258,KD-WR-78,-75.383669,5.040757,n.i.,Bt granodiorite,Manizales Stock,,,,Leal-Mejía (2011),,E Paleogene Granitoids - Manizales Stock,,3.28,65.2,16.27,0.83,0.086,1.92,4.71,3.37,2.05,0.496,0.17,,0.78,,,99.54,,10.0,2,105,70,6,< 20,< 10,70,20,1.5,< 5,69,611.0,15.8,114,7.4,5,< 0.5,< 0.1,3,< 0.2,3.1,1055.0,22.8,46.1,5.04,18.6,3.87,1.03,3.01,0.48,2.58,0.5,1.56,0.235,1.61,0.257,3.2,0.73,< 0.5,0.52,12,0.4,8.19,2.26,,,,,,,,,107.67200000000004,9.620253164556962,3.679063225722042,1.2700421940928268,0.8865012519279439,,
259,DV156,-75.300139,5.753972,n.i.,Granite,Sonsón Batholith,,,,Villagómez et al. (2011),,E Paleogene Granitoids - Sonsón Batholith,,,68.34,14.78,3.76,0.07,1.94,3.62,3.35,3.03,0.44,0.1,0.01,0.46,,,99.91,,11.7,,90,43,8,11,4,58,15.65,,,109.77,268.0,19.49,133,6.04,,,,,,5.69,744.0,28.71,54.81,5.93,21.59,4.09,0.7,3.63,0.55,3.06,0.63,1.83,0.32,1.8,0.29,3.79,0.58,,,10.62,,13.96,4.22,,,,,,,,,127.94000000000001,10.835232067510548,4.383522639348829,1.3699718706047819,0.5420394139614902,,
260,KD-WR-215,-75.29833,5.766285,2319,Bt granodiorite,Sonsón Batholith,55.8 +0.9/-1.0,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,E Paleogene Granitoids - Sonsón Batholith,,3.63,65.23,15.16,0.47,0.072,2.39,4.42,3.16,2.79,0.53,0.14,,0.5,,,98.492,,13.0,2,96,60,9,< 20,< 10,60,11,0.8,< 5,93,319.0,18.9,156,5.8,< 2,< 0.5,< 0.1,2,< 0.2,3.5,999.0,33.2,62.6,6.72,22.1,4.31,0.974,3.82,0.59,3.31,0.65,1.97,0.298,1.96,0.289,5.1,0.58,< 0.5,0.94,8,< 0.1,12.4,3.27,,,,,,,,,142.791,11.506931886678723,4.8103223785328995,1.3239903556359252,0.7161024999277625,55.8,0.4
261,KD-WR-216,-75.199909,5.664485,1847,Felsite,"Felsite, margin of Sonsón batholith",55.8 +0.9/-1.0,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,E Paleogene Granitoids - Sonsón Batholith,,1.05,74.35,13.13,0.06,0.022,0.41,1.06,3.18,4.41,0.141,0.03,,0.75,,,98.593,,4.0,3,18,20,< 1,< 20,50,< 30,10,1.3,< 5,161,105.0,24.7,86,7.5,< 2,< 0.5,< 0.1,2,< 0.2,5.2,621.0,16.6,35.6,4.07,15.1,3.53,0.393,3.54,0.63,3.54,0.76,2.25,0.378,2.69,0.399,3.8,1.52,3.5,1.3,13,0.5,21.3,12.1,,,,,,,,,89.48000000000002,4.192116449421989,2.9366132367530873,0.8939814596960144,0.33527436016090034,55.8,0.4
262,KD-WR-217,-75.140763,5.71603,1632,Gabbrodiorite,"Dike cuts felsite, Sonsón Batholith",,,,Leal-Mejía (2011),,E Paleogene Granitoids - Sonsón Batholith,,4.38,61.97,16.74,0.44,0.092,3.37,5.88,3.6,2.0,0.694,0.24,,0.91,,,100.31599999999997,,15.0,2,122,80,11,< 20,< 10,120,14,0.9,< 5,57,510.0,14.4,133,4.8,< 2,< 0.5,< 0.1,< 1,< 0.2,3.1,657.0,18.9,39.5,4.72,16.7,3.79,1.15,3.16,0.5,2.57,0.47,1.37,0.215,1.37,0.187,3.7,0.3,0.5,0.76,16,0.2,3.8,1.57,,,,,,,,,94.602,9.371708398780374,3.1141244447413245,1.5669099756690998,0.9846958836605324,,
263,KD-WR-218*,-75.193884,5.658453,1679,Felsite,"Felsite, margin of Sonsón batholith",60.0 ± 0.9,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,E Paleogene Granitoids - Sonsón Batholith,,0.68,75.92,12.86,0.17,0.009,0.11,0.76,3.48,4.7,0.056,0.02,,0.45,,,99.21500000000002,,3.0,3,5,< 20,< 1,< 20,30,< 30,9,1.2,< 5,173,39.0,24.4,57,6.8,< 2,< 0.5,< 0.1,< 1,< 0.2,2.6,188.0,10.4,24.3,3.03,13.2,3.56,0.258,3.44,0.6,3.57,0.74,2.19,0.353,2.54,0.382,3.2,1.3,1.1,1.38,16,0.5,24.2,16.1,,,,,,,,,68.56300000000002,2.781487757068341,1.824301901104632,0.9200305657995281,0.22170001710318699,60.0,0.9
264,SB-1,-75.3013888888889,5.769444444444444,2250,Quartz diorite/Granodiorite,Sonsón Batholith,,,,Saenz (2003),,E Paleogene Granitoids - Sonsón Batholith,,,65.01,15.56,4.78,0.08,2.43,4.59,3.4,2.65,0.57,0.13,,0.52,,,99.71,,,,94,47,,11,,,18,,,95,326.0,19.0,161,7,,,,,,,853.0,,40.0,,,,,,,,,,,,,,,,,10,,13,,,,,,,,,,,,,,,,
