,sample,south,west,we  dist,lithology,unit,map unit,unit details,map nomenclature,cycle,rock type by map,age,unnamed: 0,wtkg,sio2,tio2,ti_ppm,al2o3,al_ppm,fe2o3,fe_ppm,mno,mn_ppm,mgo,mg_ppm,cao,ca_ppm,na2o,k2o,k_ppm,unnamed: 19,cr2o3,cr_ppm,p2o5,p_ppm,rb_ppm,cs_ppm,sr_ppm,sr.1,ba_ppm,ba.1,th_ppm,u_ppm,zr_ppm,zr.1,hf_ppm,nb_ppm,nb.1,y_ppm,y.1,cu_ppm,zn_ppm,zn.1,li_ppm,cd_ppm,ga_ppm,ge_ppm,mo_ppm,sb_ppm,sn_ppm,w_ppm,ta_ppm,pb_ppm,co_ppm,ni_ppm,loi,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,sc_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,be_ppm,v_ppm,ag_ppm,as_ppm,bi_ppm,in,tl_ppm,longitude,latitude
115,14713C,13.73287,75.92406,0.21362996920283348,Mzgab,Old Gabbro,Linga Humay,Linga monzogabbro Humay,K-mgb-h,130-127,Monzogabbro,130.0,Old Gabbro,0.271,53.5,0.64,0.46,20.6,10.3,8.56,5.9,0.15,1130,5.53,3.32,10.1,7.2,4.11,0.43,0.3,,0.01,70,0.24,0.1,2.4,0.1,0.082,790,0.021,210,0.2,0.07,<0.001,9.1,0.5,0.002,0.5,0.001,10.7,5,83,85,5,0.1,22,1,9,8,0.5,0.5,0.25,5,27,23,0.2,8.9,18.9,2.45,11.5,2.8,26,1.27,2.7,0.34,2.13,0.4,1.14,0.16,1,0.16,2.5,234,0.5,2.5,0.05,0.1,0.25,-75.92406,-13.73287
116,14714Ba,13.857,75.76483,2.2330740159742866,Trch-And,Quilmana group,Quilmana,Quilmana group,Kis-q,114,Trachy-Andesite,114.0,Quilmana group,0.637,61.6,0.67,0.43,16.8,8.5,8.55,5.93,0.23,1710,2.29,1.35,2.05,1.4,6.46,1.39,1,,<0.01,5,0.29,0.11,32.7,4.2,0.021,210,0.072,680,5.7,2.09,0.015,141,4,<0.001,3,0.003,32.8,10,90,88,20,3.8,20,1,4,0.7,1,0.5,0.25,2.5,8.1,2.5,3.91,27,53.4,6.99,31,7,17,1.91,6.45,0.95,6.11,1.22,3.77,0.53,3.7,0.54,2.5,61,0.5,2.5,0.05,0.1,0.6,-75.76483,-13.857
117,14715Aa,13.9348,75.63554,5.675025087909809,Grt,Linga Rinconada,Linga Rinconada,Linga Rinconada monzogranite,K-mgr-r,105-96,Granite,95.0,Linga Rinconada,0.448,67.3,0.48,0.27,13,6.57,3.59,2.43,0.05,380,0.43,0.24,1.57,1.1,3.11,6.23,4.4,,<0.01,10,0.08,0.03,272,7.4,0.007,120,0.117,1130,48,11.7,0.048,438,13,<0.001,6,0.004,35.9,20,41,35,5,0.5,14,1,10,9,3,0.5,0.25,15,4.5,2.5,0.25,39.3,78.6,9.01,35.2,7.1,8,0.83,6.15,0.97,6.26,1.28,4.07,0.59,4,0.6,2.5,33,0.5,2.5,0.05,0.1,0.9,-75.63554,-13.9348
118,14715D,13.9331,75.62196,6.811056719141525,Grt,Linga Rinconada,Linga Rinconada,Linga Rinconada monzogranite,K-mgr-r,105-96,Granite,95.0,Linga Rinconada,0.355,70.2,0.3,0.18,14.6,7.67,2.72,1.9,0.02,180,0.59,0.34,2.78,2,3.61,4.64,3.4,,<0.01,10,0.05,0.03,117,2.5,0.025,280,0.181,1780,25.8,5.54,0.017,154,5,<0.001,4,0.003,24.2,20,30,24,5,0.1,15,1,3,0.7,2,0.5,0.25,7,3,2.5,0.51,24.2,46.5,5.2,20.8,4.4,8,0.86,4.08,0.63,4.11,0.85,2.62,0.39,2.9,0.42,2.5,36,0.5,2.5,0.05,0.1,0.25,-75.62196,-13.9331
119,14715F,13.93172,75.61253,7.6155734381777025,Gab-Cum,Pampahuasi,Pampahuasi,Pampahuasi,K-gb,Gabbro,Gabbro,100.0,Pampahuasi,0.712,48.8,0.5,0.29,19.5,9.76,12.7,8.87,0.23,1770,9.66,5.53,9.59,6.8,2.28,0.75,0.6,,<0.01,20,0.07,0.03,30.3,6.7,0.048,480,0.027,270,1.5,0.5,0.002,21.3,0.5,0.002,0.5,<0.001,8.5,120,108,110,5,0.1,15,1,6,4.3,0.5,0.5,0.25,11,54,44,1.37,4.6,9.6,1.23,5.9,1.4,22,0.61,1.59,0.22,1.52,0.3,0.93,0.13,0.9,0.12,2.5,177,0.5,2.5,0.05,0.1,0.25,-75.61253,-13.93172
120,14716A,14.03909,75.69248,-6.708562095637976,Trch,Quilmana group,Quilmana,Quilmana group,Kis-q,114,Trachyte,114.0,Quilmana group,0.527,65,0.57,0.36,18.1,9.05,5.97,4.23,0.03,250,3.66,2.13,1.03,0.7,8.95,0.34,0.2,,<0.01,40,0.14,0.06,5.8,0.2,0.006,70,0.003,20,5.1,1.23,0.011,104,3,0.001,3,<0.001,8.8,5,35,37,5,0.2,17,0.5,2,1.5,0.5,0.5,0.25,2.5,10.9,20,2.85,13.8,27.5,3.1,13.2,2.4,12,0.63,2.05,0.26,1.65,0.33,1.12,0.17,1.3,0.17,2.5,92,0.5,2.5,0.05,0.1,0.25,-75.69248,-14.03909
121,14717C,13.94179,75.66104,3.2438191706191914,Grt,Linga Rinconada,Linga Rinconada,Linga Rinconada monzonite,K-m-r,105-96,Granite,95.0,Linga Rinconada,0.698,65.6,0.31,0.18,12.8,6.75,3.02,2.15,0.04,290,0.36,0.2,1.44,1,2.88,6.1,4.5,,<0.01,10,0.02,0.01,335,13,0.007,110,0.084,810,111,31.4,0.03,284,10,<0.001,3,0.003,35.9,10,31,29,20,0.1,14,1,9,7.6,2,0.5,0.25,16,3.9,2.5,0.27,47.8,95.9,10.8,41.1,7.7,7,0.73,6.68,1.01,6.32,1.26,3.79,0.54,3.7,0.52,2.5,25,0.5,2.5,0.05,0.1,1,-75.66104,-13.94179
122,14724D,13.95356,75.62752,4.795104036049535,Grt,Linga Rinconada,Linga Rinconada,Linga Rinconada monzogranite,K-mgr-r,105-96,Granite,95.0,Linga Rinconada,0.761,67.8,0.08,0.05,12.6,6.65,1.55,0.98,0.03,210,0.14,0.07,0.72,0.5,3.56,6.22,4.8,,<0.01,10,<0.01,<0.01,221,3.3,0.005,100,0.072,680,49.3,9.18,0.011,77.6,4,<0.001,3,0.002,20.3,10,30,26,5,0.2,12,1,3,1.6,0.5,0.5,0.25,13,2.4,2.5,0.66,37.2,72.8,7.54,26.7,4.8,2.5,0.4,3.83,0.52,3.15,0.62,2.05,0.31,2.3,0.31,2.5,15,0.5,7,0.05,0.1,0.8,-75.62752,-13.95356
123,14725Ec,13.66029,75.76186,17.902678579006025,Grdt,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Granodiorite,98.0,Pampahuasi,0.26,65.7,0.59,0.35,15.4,8.37,6.24,4.16,0.13,1000,1.92,1.15,4.42,3.1,4.01,2.53,2,,<0.01,10,0.13,0.05,73.9,2.5,0.024,280,0.103,990,9.6,2.43,0.023,233,7,0.001,4,0.003,27.2,70,63,54,5,0.2,17,1,8,5.3,1,0.5,0.25,10,13.7,2.5,0.71,20,43.6,5.45,23.6,5.1,17,1,4.87,0.71,4.61,0.96,3.01,0.43,3.1,0.43,2.5,129,0.5,2.5,0.05,0.1,0.25,-75.76186,-13.66029
124,14727U,13.82762,75.69228,9.898117904523374,Grt,Linga Rinconada,Linga Rinconada,Linga Rinconada monzogranite,K-mgr-r,105-96,Granite,95.0,Linga Rinconada,0.33,64.6,0.94,0.56,14.3,7.64,7.12,4.7,0.13,900,1.55,0.92,4.17,3,3.1,4.6,3.6,,<0.01,20,0.27,0.12,168,12.9,0.021,230,0.134,1280,25.7,4.9,0.042,352,10,0.001,5,0.005,49.9,290,71,76,10,0.1,17,1,4,3.4,4,0.5,0.25,15,11.5,2.5,0.66,36.7,81.4,10.3,43.9,10,20,1.36,9.33,1.43,9.13,1.82,5.44,0.75,5.2,0.74,2.5,124,0.5,7,0.05,0.1,0.6,-75.69228,-13.82762
125,14727Y,13.85073,75.71326,6.534179052601866,Mzd,Linga Humay,Linga Rinconada,Linga monzodiorite Humay,K-mdi-h,105-96,Monzodiorite,105.0,Linga Humay,0.594,69.5,0.48,0.27,14.3,7.55,4.99,3.26,0.03,240,0.84,0.48,1.45,1,4.07,5.93,4.5,,<0.01,10,0.14,0.06,126,0.6,0.01,130,0.202,1940,33.3,9.46,0.036,328,9,0.001,6,0.003,31.6,120,20,24,5,0.3,16,1,9,5.3,1,2,0.25,2.5,2.5,2.5,1.15,41.5,89.2,9.21,35.5,7,10,1.1,6.23,0.91,5.86,1.1,3.18,0.44,3.1,0.44,2.5,72,0.5,11,0.05,0.1,0.25,-75.71326,-13.85073
