,sample,south,west,we  dist,lithology,unit,map unit,unit details,map nomenclature,cycle,rock type by map,age,unnamed: 0,wtkg,sio2,tio2,ti_ppm,al2o3,al_ppm,fe2o3,fe_ppm,mno,mn_ppm,mgo,mg_ppm,cao,ca_ppm,na2o,k2o,k_ppm,unnamed: 19,cr2o3,cr_ppm,p2o5,p_ppm,rb_ppm,cs_ppm,sr_ppm,sr.1,ba_ppm,ba.1,th_ppm,u_ppm,zr_ppm,zr.1,hf_ppm,nb_ppm,nb.1,y_ppm,y.1,cu_ppm,zn_ppm,zn.1,li_ppm,cd_ppm,ga_ppm,ge_ppm,mo_ppm,sb_ppm,sn_ppm,w_ppm,ta_ppm,pb_ppm,co_ppm,ni_ppm,loi,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,sc_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,be_ppm,v_ppm,ag_ppm,as_ppm,bi_ppm,in,tl_ppm,longitude,latitude
62,12719K,13.60741,75.34363,52.96305609179566,Grdt,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Granodiorite,66.0,Incahuasi ,0.491,63.3,0.62,0.38,15,8.24,5.4,3.76,0.09,690,1.75,1.06,3.79,2.8,3.3,3.8,3.4,,<0.01,20,0.14,0.07,196,12.9,300,300,720,755,21.8,5.22,200,238,7,5,9,30,27.2,55,50,62,20,0.2,17,1,1,1.4,2,4,0.6,20,13.4,14,0.68,20.8,47.3,6.56,24.7,5.5,13,1.02,5.39,0.84,5.11,0.96,2.76,0.44,2.8,0.44,2.5,104,0.5,8,0.1,0.1,0.7,-75.34363,-13.60741
63,12720C,13.99534,75.56479,6.14785665293456,Grt,Linga Humay,Linga Humay,Linga monzodiorite Humay,K-mdi-h,105-96,Granodiorite,105.0,Linga Humay,0.476,64.3,0.81,0.52,13.7,7.5,7.2,5.04,0.11,800,1.74,1.05,3.99,2.9,2.7,4.3,3.8,,<0.01,10,0.2,0.1,290,18.4,220,217,910,900,45,6.52,320,341,10,5,9,50,54.9,114,53,63,10,0.1,16,1,6,1.7,7,5,0.8,16,15.9,12,0.4,49,109,14.6,55.6,12.4,18,1.25,11.5,1.73,10.6,1.92,5.6,0.91,5.6,0.86,2.5,126,0.5,6,0.05,0.1,0.9,-75.56479,-13.99534
64,12722E,14.08006,75.44305,8.486312020071294,Grdt,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Tonalite-Diorite,98.0,Pampahuasi,0.45,60.3,0.66,0.43,14.9,8.31,6.82,4.85,0.13,980,2.18,1.35,4.99,3.8,3.2,2.32,2.1,,<0.01,10,0.16,0.09,128,10.8,310,309,820,843,22.4,5.74,200,214,7,5,5,30,27.5,66,65,74,20,0.2,18,1,4,2.3,3,2,0.25,15,16.8,10,0.75,24.9,51.3,6.73,25.8,5.7,18,1.18,5.46,0.82,5.06,0.96,2.91,0.48,3,0.49,2.5,133,0.5,9,0.05,0.1,0.5,-75.44305,-14.08006
65,12722J,14.01851,75.36042,19.41189631471027,Gab-Cum,Tiabaya,Tiabaya,Tiabaya,K-gb,85-78,Gabbro,85.0,Tiabaya,0.465,51.4,0.56,0.37,24.1,13.2,4.35,3.09,0.06,510,1.7,1.05,11.1,8.2,3,0.63,0.6,,<0.01,20,0.19,0.09,14.3,0.9,870,842,280,291,1.8,0.35,70,71.2,2,5,3,5,8.9,55,42,50,10,0.6,25,0.5,1,0.1,0.5,0.5,0.25,6,12.5,15,0.79,10.9,22.4,3.07,12.5,2.7,7,0.92,2.21,0.32,1.86,0.31,0.91,0.14,0.8,0.13,2.5,92,0.5,2.5,0.05,0.1,0.25,-75.36042,-14.01851
66,12722L,14.0401,75.35352,18.226692461077878,Grdt,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Granodiorite,98.0,Pampahuasi,0.518,61.4,0.74,0.48,16.3,8.82,6.08,4.35,0.12,870,2.28,1.38,5.23,3.8,3.9,2.4,2.1,,<0.01,20,0.2,0.1,96.9,7.4,510,489,770,769,9.4,2.84,220,142,4,5,5,20,17.9,39,67,71,20,0.1,20,1,5,0.7,2,11,0.25,12,15.4,14,0.61,19.1,43.7,5.97,22,4.5,13,1.12,3.97,0.56,3.27,0.64,1.81,0.29,2,0.3,2.5,133,0.5,2.5,0.05,0.1,0.25,-75.35352,-14.0401
67,12722T,13.96205,75.23788,32.88606731387011,Grdt,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Granodiorite,66.0,Incahuasi ,0.545,62.4,0.64,0.43,15.4,8.38,5.52,3.97,0.09,720,1.86,1.17,4.08,3.1,3.4,3.63,3.2,,<0.01,10,0.15,0.09,163,5.3,420,406,950,965,18.6,5.4,270,269,8,5,8,20,19.6,83,36,43,10,0.1,19,0.5,2,0.4,2,6,0.6,8,13.4,12,1.21,28.5,58.7,7.44,27.1,5.2,10,1.04,4.33,0.64,3.76,0.68,1.97,0.34,2,0.32,2.5,110,0.5,2.5,0.05,0.1,0.6,-75.23788,-13.96205
68,12722V,13.91656,75.19213,39.835295670282214,Grdt,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Granodiorite,66.0,Incahuasi ,0.451,61.1,0.73,0.45,16.2,8.66,6.32,4.35,0.12,890,2.47,1.44,5.43,4,3.2,2.99,2.6,,<0.01,20,0.21,0.1,136,7.6,430,408,870,857,14.9,4,230,216,6,5,10,20,25.1,34,66,71,20,0.2,19,1,5,0.6,3,2,0.7,19,16.2,13,0.83,30.9,63.2,8.1,29.6,6.1,15,1.29,5.48,0.83,4.66,0.85,2.5,0.43,2.6,0.42,2.5,126,0.5,6,0.05,0.1,0.7,-75.19213,-13.91656
69,12722Y,13.87002,75.18557,43.97684917567212,Qzdt,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Granodiorite,66.0,Incahuasi ,0.655,53.2,0.85,0.54,17.2,9.33,9.44,6.63,0.21,1570,3.98,2.39,7.72,5.7,2.8,1.8,1.6,,<0.01,20,0.23,0.13,64.5,6.8,610,580,700,719,6.6,1.71,80,86.3,3,5,5,20,19.3,67,66,79,30,0.2,20,1,2,1.9,1,1,0.25,14,29.9,19,1.34,21.2,42.9,5.62,22.2,4.9,20,1.43,4.46,0.67,3.84,0.73,1.95,0.32,2,0.34,2.5,236,0.5,9,0.05,0.1,0.6,-75.18557,-13.87002
70,12723B,13.8376,75.22997,43.24840584753869,Qzmzd,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Granodiorite,66.0,Incahuasi ,0.716,60.4,0.77,0.49,16.4,8.91,6.89,4.83,0.12,930,2.53,1.55,5.63,4.1,3.7,2.65,2.3,,<0.01,10,0.2,0.11,129,8.9,530,505,710,745,15.1,4.37,220,221,6,5,7,20,21.3,79,68,77,20,0.2,20,1,4,1.2,2,2,0.25,13,19.3,14,0.55,26.2,54.8,7.09,27.6,5.5,13,1.21,4.51,0.68,4.13,0.73,2.03,0.37,2.1,0.36,2.5,152,0.5,8,0.05,0.1,0.25,-75.22997,-13.8376
71,12723C,13.83105,75.23584,43.330047933212164,Qzmzd,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Granodiorite,66.0,Incahuasi ,0.397,57.1,0.88,0.57,16.6,9.02,8.02,5.66,0.14,1050,3,1.84,6.46,4.7,3.5,2.37,2.1,,<0.01,20,0.23,0.12,113,7.8,520,498,670,706,13.4,3.99,180,175,5,5,6,20,21.2,97,74,85,20,0.1,21,1,4,1.2,2,1,0.25,12,22.3,20,0.7,23.9,51.5,6.95,26.8,5.5,17,1.28,4.69,0.69,4.1,0.78,2.23,0.37,2.2,0.35,2.5,190,0.5,7,0.05,0.1,0.25,-75.23584,-13.83105
72,12723E,13.82604,75.25659,42.192289783970466,Qzmzd,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/mdi,68-59,Monzodiorite,66.0,Incahuasi ,0.626,63.2,0.67,0.42,15.7,8.58,5.37,3.82,0.09,670,1.94,1.2,4.47,3.3,3.7,3.27,2.9,,<0.01,20,0.16,0.08,163,10.8,480,457,800,796,19.5,4.87,230,272,8,5,7,20,16.9,64,50,55,20,0.1,20,1,4,0.9,2,4,0.25,12,14.8,14,0.62,23,48.9,6.2,23.6,4.6,9,0.95,3.92,0.57,3.25,0.62,1.74,0.27,1.9,0.29,2.5,116,0.5,2.5,0.05,0.1,0.6,-75.25659,-13.82604
73,12723I,13.78803,75.3707,36.756191254190135,Grt,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Granodiorite,66.0,Incahuasi ,0.556,64,0.75,0.49,15.1,8.27,5.36,3.77,0.09,690,1.47,0.9,3.5,2.6,3.4,4.36,3.9,,<0.01,10,0.18,0.1,212,7.4,400,388,940,959,18.2,5.79,310,281,8,10,10,20,24.3,296,40,48,5,0.1,20,1,1,0.4,3,0.5,0.7,12,11.6,11,0.71,36.4,76.3,9.79,35.2,6.9,9,1.11,5.56,0.83,4.71,0.87,2.4,0.42,2.6,0.42,2.5,94,0.5,2.5,0.05,0.1,0.6,-75.3707,-13.78803
74,12723L,13.79288,75.34314,38.40974471238475,Qzmzd,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Granodiorite,66.0,Incahuasi ,0.462,60.1,0.68,0.46,15.4,8.82,6.51,4.79,0.11,870,2.5,1.62,5.57,4.3,3.4,2.16,2,,<0.01,20,0.2,0.1,105,7,570,569,610,655,12.1,3.1,150,132,4,5,5,20,16.9,76,58,71,20,0.1,19,1,1,0.6,2,0.5,0.25,9,20.3,14,0.61,22.8,47.8,6.3,23.7,4.9,12,1.09,3.69,0.53,3.39,0.58,1.72,0.22,1.6,0.27,2.5,164,0.5,2.5,0.05,0.1,0.25,-75.34314,-13.79288
75,12723M,13.80357,75.31348,39.75910797154988,Qzmzd,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Granodiorite,66.0,Incahuasi ,0.538,59.7,0.86,0.57,15.3,8.45,6.62,4.74,0.11,870,2.25,1.44,4.94,3.6,3.6,2.9,2.5,,<0.01,20,0.24,0.12,156,10.4,520,495,660,717,16.1,3.97,220,218,7,5,10,20,22.2,135,67,80,20,0.1,21,1,2,1.3,3,2,0.6,14,17.5,15,0.49,28.9,62.2,8.22,30.6,6.2,12,1.19,5.26,0.78,4.17,0.8,2.2,0.37,2.3,0.36,2.5,137,0.5,8,0.05,0.1,0.5,-75.31348,-13.80357
76,12723O,13.80322,75.27238,42.82072689503102,Qzmzd,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Granodiorite,66.0,Incahuasi ,0.64,66.7,0.48,0.3,14.2,7.83,4.69,3.29,0.09,670,1.57,0.94,3.88,2.9,3.2,2.9,2.5,,<0.01,20,0.1,0.05,99.3,4.4,290,280,800,844,12.8,2.45,130,113,4,5,4,20,18.6,14,29,36,20,0.1,15,1,3,0.3,1,0.5,0.25,8,11.5,10,0.7,19.3,37.7,4.67,17.7,3.9,11,0.9,3.55,0.57,3.43,0.62,1.91,0.33,2.1,0.32,2.5,95,0.5,2.5,0.05,0.1,0.7,-75.27238,-13.80322
