,sample,rock type,locality,lat.,long.,n°of spots,mswd,age_x,95% c.l.,method,lithology,age group,age,sio2,tio2,al2o3,fe2o3,feo,mno,mgo,cao,na2o,k2o,p2o5,so3,f_ppm,total,la_ppm,pr_ppm,ce_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,dy_ppm,ho_ppm,tm_ppm,er_ppm,yb_ppm,lu_ppm,sc_ppm,y_ppm,zr_ppm,nb_ppm,ta_ppm,ga_ppm,rb_ppm,sr_ppm,ba_ppm,th_ppm,hf_ppm,u_ppm,ti ,longitude,latitude
15,F00038,Granodiorite,Estero Benjamin,51°11.38',74°44.00',9 of 19,1.1,140.7,1,SHRIMP,Granodiorite,K1,140.7,74.083,0.12,13.52,2.03,,0.02,0.196,2.104,3.803,2.59,0.029,0.017,0.026,98.53799999999998,24.581539839584437,4.983277611655884,45.54524461535722,17.686122212938432,3.318982341698955,0.6143624452623265,2.894221128238408,2.968065084623486,0.608038613998203,0.30297945073813637,1.8970413785541507,2.1694057311117647,0.3510217435461191,5.3075214593687905,19.094352773203315,93.11370581309001,6.6667271967679005,0.643574920247578,13.387907064003274,78.4,156.15375022125806,754.3058537707121,11.26462312566493,2.776430158723464,1.735363318773732,737.2203714912151,-74.73333333333333,-51.18966666666667
16,F00030,Granodiorite,Canal Elías,51°26.665',74°53.048',14 of 18,1.18,139.9,1,SHRIMP,Granodiorite,K1,139.9,74.331,0.183,13.235,2.547,,0.024,0.366,3.339,4.016,0.167,0.048,0.02,0.025,98.30100000000002,22.92303941468646,5.123059657286446,43.97060742608465,18.89884254433363,4.178205950190002,0.6325854567769961,3.6155065157677866,4.104203652965108,0.8509089751202877,0.4442679087529596,2.7625899248164925,3.0260134342442626,0.4763372453259896,8.310727593042966,26.38737124894146,99.98053369152916,9.399063717705761,0.7535983425979151,12.76020379776608,2.2,264.41960595501257,156.8960747977627,10.553092653607843,2.97662504915605,1.7417588195882463,1100.660085990162,-74.88413333333334,-51.44441666666667
17,F00031,Gabbro–diorite,Canal Elias,51°27.647',74°52.872',14 of 18,0.57,139.5,1,SHRIMP,Gabbro-diorite,K1,139.5,54.296,0.424,16.985,10.865,,0.198,4.763,9.694,2.225,0.204,0.102,0.028,0.018,99.80199999999999,14.63115784765484,3.1060124078196587,26.602464162131664,12.343984336910774,2.603966977100583,1.0596549508006226,2.348836080954476,2.3279383279869563,0.47042202301051184,0.2208343571600102,1.420495398787609,1.5051217471346021,0.23665881104478362,40.861692046715,13.304740329919213,70.08974133409033,3.5511446315198874,0.19309978933818575,14.223413926754938,4.4,319.9737096533648,63.59047117019872,1.840063740833136,1.6378880188190887,0.3434302889705969,2668.746936336012,-74.8812,-51.46078333333333
18,CC9920,Granodiorite,Canal Cochrane,48°46.03',75°11.86',8 of 10,0.34,138.8,1,SHRIMP,Granodiorite,K1,138.8,69.5,0.32,15.62,1.35,1.6,0.07,0.88,3.24,3.33,3.28,0.09,0.53,,99.81,27,,54,24,3.87,0.91,2.82,3.22,0.7,,2.06,2.07,0.32,8,17,104,6,,,,263,532,10,2.8,,,-75.19766666666666,-48.76716666666667
19,CA9916A,Granodiorite,Canal Fallos,48°34.61',74°57.29',,,137.8,0.2,TIMS,Granodiorite,K1,137.8,67.188,0.401,14.732,5.365,,0.091,1.931,5.106,2.618,1.597,0.091,0.019,0.054,99.19299999999997,30.633033528916396,5.171952268648977,50.34088892943799,17.879875251574315,3.588697305793166,0.828053590991451,3.02442663889149,3.193046342072165,0.6509033447234184,0.28403626046955194,1.9077432208411806,1.9659881436536613,0.3095219895382269,20.450112281095254,19.180227434753974,122.97363640668931,6.36227960017327,0.44934835892045016,14.207342131505108,60.4,206.50976338393303,460.5163012075438,11.338303537295795,3.025352673251728,0.7057672848624624,2609.2283287982145,-74.95483333333334,-48.57683333333333
20,EC9918,Granodiorite,Estrecho Castillo,48°48.15',75°27.96',,,136.1,0.2,TIMS,Granodiorite,K2,136.1,68.32,0.37,16.23,1.6,1.96,0.1,1.23,4.45,3.62,1.27,0.1,0.6,,99.85,16,,30,11,1.96,0.7,1.8,1.68,0.36,,1.05,1.06,0.16,,10,121,,,,38,318,,,,,,-75.466,-48.8025
21,F00087,Gabbro,Canal Nogueira,51°57.27',74°50.31',5 of 9,0.79,135.9,2,SHRIMP,Gabbro-norite,K2,135.9,45.009,0.604,23.456,10.461,,0.146,3.528,13.791,1.208,0.135,0.029,0.516,0.021,98.90400000000001,3.0556300982582734,0.62960825726771,4.911322275009314,2.7343753180897146,0.7880794394001963,0.39321803146850404,0.8519073928840785,1.0262835539024353,0.22031198922769846,0.09531650056086877,0.653515062135784,0.6780949297787506,0.09831874914699913,38.25758708239599,6.132312462966465,11.938597066964187,0.7396972142330922,0.055448430500806174,18.837450026360255,3.1,321.574667450461,46.5049669929754,0.8727525070281424,0.3697266454297121,0.222123253457965,3657.404698757058,-74.8385,-51.9545
22,F00029,Tonalite,Canal Elías,51°26.665',74°53.048',14 of 15,1.5,134.4,2,SHRIMP,Tonalite,K2,134.4,64.442,0.616,15.243,7.393,,0.108,1.68,6.16,2.808,0.707,0.162,0.085,0.035,99.43899999999998,15.40578807678647,3.3084899831337267,27.365112809161502,13.905151157209383,3.3521666438296824,1.2176638873101848,3.41467498635565,3.335677011656232,0.7173594095297083,0.28994119455118766,2.0274065582199365,1.8958648998395147,0.28642893980766887,24.173035493458297,19.2512874126643,261.8740408030365,2.6626886665987164,0.14902223636214737,14.87692277311365,24.7,318.31780671297753,216.24965612807895,2.2232382761089293,5.043204778672353,0.4963134409331492,4045.5363758623785,-74.88413333333334,-51.44441666666667
23,F00420,Granite,Isla Caraciolo,50°27.60',75°07.81',8 of 8,1.08,132.7,1,SHRIMP,Granodiorite,K2,132.7,70.455,0.307,14.035,3.091,,0.067,1.172,3.593,3.459,2.117,0.068,0.025,0.031,98.42,17.86974776206531,2.9429439900959555,28.99147815299678,10.231442113372326,2.0288810694040684,0.5511487464000501,1.8702475792406068,1.9426043386212424,0.4160721497036468,0.20543221843142714,1.3469934280545957,1.522145249914398,0.25398908929368824,10.922428104505983,13.030167006849153,104.39476414559215,5.235548522753283,0.44315882616742625,12.023963122608913,70.8,223.8114172822558,537.5905577725837,8.145578149201082,2.657619496946016,1.8874249864510209,1878.0592687386409,-75.13016666666667,-50.46
24,F00089,Granodiorite,Canal Nogueira,52°00.51',74°55.26',4 of 6,2.6,130,6,SHRIMP,Granodiorite,K2,130.0,71.047,0.369,14.43,3.289,,0.093,0.888,3.689,3.767,1.155,0.086,0.062,0.045,98.92,10.272460082008223,2.3348609254817316,18.764074442282034,9.709516492796658,2.3261370345893826,0.9237440812678207,2.409654942411308,2.5184890884323163,0.5373416144069879,0.24790108685603582,1.6670987690658627,1.6936945512858947,0.2665592820620939,35.93267129682535,15.770335470885692,87.65512465604867,4.921118296684875,0.3133073129140844,15.827537269306577,42.7,312.2423596679047,277.2784488017442,2.287042072921071,2.301689182275687,0.6861320268818542,6194.458116343565,-74.921,-52.0085
25,F00036,Granodiorite,Estero Benjamin,51°19.273',74°58.567',8 of 9,1.06,128.2,2,SHRIMP,Granodiorite,K2,128.2,71.712,0.327,14.474,3.06,,0.073,0.887,3.469,3.571,2.037,0.07,0.021,0.053,99.75399999999999,10.85058486700084,2.462026190523698,19.919874095407593,9.97176097724417,2.410648730726991,0.818332793064817,2.531919518440393,2.603489746910964,0.5365585855057056,0.23857752323613002,1.637130729570243,1.719677028425605,0.2730835119272767,10.972716701079168,16.586356184752837,143.56277586100708,4.538794673660594,0.2989862198019487,11.856142082076214,68.9,223.1153317646154,578.6223168082926,3.7333813829802587,3.5172913137936583,0.8976797825838799,2013.2878699737626,-74.97611666666667,-51.321216666666665
26,F00218A,Tonalite,Canal Irene,52°43.59',73°22.07',14 of 19,1.08,126.3,1,SHRIMP,Tonalite,K3,126.3,61.743,0.454,17.308,4.729,,0.148,2.079,5.861,3.189,1.674,0.172,0.058,0.04,97.455,4.144526607887395,1.0198005659180076,7.076421153583962,5.060298849482279,1.5921001675232522,0.678973766108047,1.661496132856351,1.8289172599190202,0.38236111882757107,0.19802389690045483,1.2305057259029981,1.4170508948790692,0.23819337850171074,7.618153537314196,12.249735454261907,75.6471660499117,5.688981397022934,0.48870419123575304,15.47854444637968,53.4,423.49529242836377,380.8991004350239,0.4414965974264129,1.9496264365255134,0.5481760495354353,2761.081532418194,-73.36783333333334,-52.7265
27,SI9925,Granodiorite,Seno Iceberg,48°43.62',73°59.40',,,121.9,0,TIMS,Granodiorite,K3,121.9,67.317,0.334,14.734,3.943,,0.118,1.362,3.683,2.726,3.399,0.168,0.07,0.001,97.855,11.011703781074344,2.632617932534928,20.789760269801008,10.850233033364018,2.8067676598643487,0.8785826213577602,2.7585244919052108,2.8195948943790348,0.5957303829359856,0.28306754971220566,1.8270066706941814,2.1423214923774294,0.3566942341648987,8.56777971757994,18.537922869517658,165.27716672148205,10.721291717329564,1.0011877871335653,12.998778163836192,113.8,496.3082512256663,865.0793560287616,5.370599132589852,4.254847700741499,2.323456617483823,2196.382443246349,-73.99,-48.727
